term	valence	score	score-socal	POS
handicapped	negative	-0.2	-1	ajdective
hang-ups	negative	-0.2	-1	ajdective
hard	negative	-0.2	-1	ajdective
hard-hitting	negative	-0.2	-1	ajdective
hard-nosed	negative	-0.2	-1	ajdective
hard-pressed	negative	-0.2	-1	ajdective
haunting	negative	-0.2	-1	ajdective
heavy	negative	-0.2	-1	ajdective
hesitant	negative	-0.2	-1	ajdective
ho-hum	negative	-0.2	-1	ajdective
homeless	negative	-0.2	-1	ajdective
hyperactive	negative	-0.2	-1	ajdective
idealistic	negative	-0.2	-1	ajdective
idle	negative	-0.2	-1	ajdective
imperfect	negative	-0.2	-1	ajdective
impossible	negative	-0.2	-1	ajdective
imprecise	negative	-0.2	-1	ajdective
inappropriate-for-children	negative	-0.2	-1	ajdective
inattentive	negative	-0.2	-1	ajdective
incapable	negative	-0.2	-1	ajdective
inconsistent	negative	-0.2	-1	ajdective
inevitable	negative	-0.2	-1	ajdective
inexperienced	negative	-0.2	-1	ajdective
inexplicable	negative	-0.2	-1	ajdective
inexpressible	negative	-0.2	-1	ajdective
inopportune	negative	-0.2	-1	ajdective
insignificant	negative	-0.2	-1	ajdective
insufficient	negative	-0.2	-1	ajdective
intermittent	negative	-0.2	-1	ajdective
intoxicated	negative	-0.2	-1	ajdective
irregular	negative	-0.2	-1	ajdective
irrelevant	negative	-0.2	-1	ajdective
irreverent	negative	-0.2	-1	ajdective
jittery	negative	-0.2	-1	ajdective
late	negative	-0.2	-1	ajdective
late-night	negative	-0.2	-1	ajdective
lean	negative	-0.2	-1	ajdective
lengthy	negative	-0.2	-1	ajdective
lesser-known	negative	-0.2	-1	ajdective
little	negative	-0.2	-1	ajdective
lofty	negative	-0.2	-1	ajdective
lone	negative	-0.2	-1	ajdective
loose	negative	-0.2	-1	ajdective
low-budget	negative	-0.2	-1	ajdective
low-end	negative	-0.2	-1	ajdective
low-flying	negative	-0.2	-1	ajdective
low-rent	negative	-0.2	-1	ajdective
marginal	negative	-0.2	-1	ajdective
mass-market	negative	-0.2	-1	ajdective
mass-marketed	negative	-0.2	-1	ajdective
materialistic	negative	-0.2	-1	ajdective
melancholic	negative	-0.2	-1	ajdective
middling-to-weak	negative	-0.2	-1	ajdective
mid-line	negative	-0.2	-1	ajdective
mid-range	negative	-0.2	-1	ajdective
mind-boggling	negative	-0.2	-1	ajdective
mini-conflict	negative	-0.2	-1	ajdective
minimal	negative	-0.2	-1	ajdective
minimum	negative	-0.2	-1	ajdective
monolithic	negative	-0.2	-1	ajdective
moody	negative	-0.2	-1	ajdective
moot	negative	-0.2	-1	ajdective
mushy	negative	-0.2	-1	ajdective
narrow	negative	-0.2	-1	ajdective
nasal	negative	-0.2	-1	ajdective
naughty	negative	-0.2	-1	ajdective
neat-freak	negative	-0.2	-1	ajdective
needless	negative	-0.2	-1	ajdective
negative	negative	-0.2	-1	ajdective
nerd-like	negative	-0.2	-1	ajdective
nervous	negative	-0.2	-1	ajdective
nonchalant	negative	-0.2	-1	ajdective
non-descript	negative	-0.2	-1	ajdective
non-gourmet	negative	-0.2	-1	ajdective
obtrusive	negative	-0.2	-1	ajdective
odd	negative	-0.2	-1	ajdective
off-cambered	negative	-0.2	-1	ajdective
off-center	negative	-0.2	-1	ajdective
offhand	negative	-0.2	-1	ajdective
off-topic	negative	-0.2	-1	ajdective
old	negative	-0.2	-1	ajdective
old-fashioned	negative	-0.2	-1	ajdective
old-hat	negative	-0.2	-1	ajdective
old-school	negative	-0.2	-1	ajdective
old-soul	negative	-0.2	-1	ajdective
ostentatious	negative	-0.2	-1	ajdective
out-of-it	negative	-0.2	-1	ajdective
outrageous	negative	-0.2	-1	ajdective
outspoken	negative	-0.2	-1	ajdective
over-boosted	negative	-0.2	-1	ajdective
over-developed	negative	-0.2	-1	ajdective
overdrive	negative	-0.2	-1	ajdective
overwhelming	negative	-0.2	-1	ajdective
over-whelming	negative	-0.2	-1	ajdective
pale	negative	-0.2	-1	ajdective
paper-thin	negative	-0.2	-1	ajdective
papery	negative	-0.2	-1	ajdective
piano-heavy	negative	-0.2	-1	ajdective
plain	negative	-0.2	-1	ajdective
plasticky	negative	-0.2	-1	ajdective
political	negative	-0.2	-1	ajdective
portly	negative	-0.2	-1	ajdective
power-mad	negative	-0.2	-1	ajdective
preachy	negative	-0.2	-1	ajdective
pre-owned	negative	-0.2	-1	ajdective
prevalent	negative	-0.2	-1	ajdective
pricey	negative	-0.2	-1	ajdective
prim	negative	-0.2	-1	ajdective
prolonged	negative	-0.2	-1	ajdective
prone	negative	-0.2	-1	ajdective
proprietary	negative	-0.2	-1	ajdective
protective	negative	-0.2	-1	ajdective
puzzling	negative	-0.2	-1	ajdective
queer	negative	-0.2	-1	ajdective
questionable	negative	-0.2	-1	ajdective
radical	negative	-0.2	-1	ajdective
rambling	negative	-0.2	-1	ajdective
rampant	negative	-0.2	-1	ajdective
raspy	negative	-0.2	-1	ajdective
raw	negative	-0.2	-1	ajdective
red-blooded	negative	-0.2	-1	ajdective
redundant	negative	-0.2	-1	ajdective
reliant	negative	-0.2	-1	ajdective
religious	negative	-0.2	-1	ajdective
reluctant	negative	-0.2	-1	ajdective
remorseless	negative	-0.2	-1	ajdective
remote	negative	-0.2	-1	ajdective
repetitious	negative	-0.2	-1	ajdective
repetitive	negative	-0.2	-1	ajdective
replete	negative	-0.2	-1	ajdective
resource-heavy	negative	-0.2	-1	ajdective
restless	negative	-0.2	-1	ajdective
revealing	negative	-0.2	-1	ajdective
rigid	negative	-0.2	-1	ajdective
ringed	negative	-0.2	-1	ajdective
ripe	negative	-0.2	-1	ajdective
rival	negative	-0.2	-1	ajdective
rocky	negative	-0.2	-1	ajdective
rough	negative	-0.2	-1	ajdective
salvageable	negative	-0.2	-1	ajdective
scarce	negative	-0.2	-1	ajdective
self-described	negative	-0.2	-1	ajdective
sequal	negative	-0.2	-1	ajdective
serious	negative	-0.2	-1	ajdective
severe	negative	-0.2	-1	ajdective
shifty	negative	-0.2	-1	ajdective
shocking	negative	-0.2	-1	ajdective
short	negative	-0.2	-1	ajdective
showy	negative	-0.2	-1	ajdective
shy	negative	-0.2	-1	ajdective
silly	negative	-0.2	-1	ajdective
simplistic	negative	-0.2	-1	ajdective
slack-jawed	negative	-0.2	-1	ajdective
slightly-predictable	negative	-0.2	-1	ajdective
slightly-skewed	negative	-0.2	-1	ajdective
slippery	negative	-0.2	-1	ajdective
slow	negative	-0.2	-1	ajdective
slumpy	negative	-0.2	-1	ajdective
sly	negative	-0.2	-1	ajdective
small	negative	-0.2	-1	ajdective
smallish	negative	-0.2	-1	ajdective
small-town	negative	-0.2	-1	ajdective
so-called	negative	-0.2	-1	ajdective
softy	negative	-0.2	-1	ajdective
somber	negative	-0.2	-1	ajdective
sombre	negative	-0.2	-1	ajdective
so-so	negative	-0.2	-1	ajdective
spacey	negative	-0.2	-1	ajdective
sparse	negative	-0.2	-1	ajdective
sporadic	negative	-0.2	-1	ajdective
squat	negative	-0.2	-1	ajdective
static	negative	-0.2	-1	ajdective
steep	negative	-0.2	-1	ajdective
stereotypical	negative	-0.2	-1	ajdective
sticky	negative	-0.2	-1	ajdective
stiff	negative	-0.2	-1	ajdective
stilted	negative	-0.2	-1	ajdective
stormy	negative	-0.2	-1	ajdective
superficial	negative	-0.2	-1	ajdective
surreal	negative	-0.2	-1	ajdective
synthetic	negative	-0.2	-1	ajdective
tacked-on	negative	-0.2	-1	ajdective
teeny	negative	-0.2	-1	ajdective
terse	negative	-0.2	-1	ajdective
throw-away	negative	-0.2	-1	ajdective
throw-aways	negative	-0.2	-1	ajdective
tight	negative	-0.2	-1	ajdective
tight-fitting	negative	-0.2	-1	ajdective
timid	negative	-0.2	-1	ajdective
tiny	negative	-0.2	-1	ajdective
tipsy	negative	-0.2	-1	ajdective
too-low	negative	-0.2	-1	ajdective
too-sophisticated	negative	-0.2	-1	ajdective
trance-like	negative	-0.2	-1	ajdective
transparent	negative	-0.2	-1	ajdective
trendy	negative	-0.2	-1	ajdective
tricky	negative	-0.2	-1	ajdective
trivial	negative	-0.2	-1	ajdective
twisty	negative	-0.2	-1	ajdective
unable	negative	-0.2	-1	ajdective
unavoidable	negative	-0.2	-1	ajdective
unbalanced	negative	-0.2	-1	ajdective
unbidden	negative	-0.2	-1	ajdective
uncertain	negative	-0.2	-1	ajdective
underdeveloped	negative	-0.2	-1	ajdective
underpaid	negative	-0.2	-1	ajdective
uneasy	negative	-0.2	-1	ajdective
unecessary	negative	-0.2	-1	ajdective
uneven	negative	-0.2	-1	ajdective
unexplained	negative	-0.2	-1	ajdective
unfinished	negative	-0.2	-1	ajdective
unheard	negative	-0.2	-1	ajdective
unimportant	negative	-0.2	-1	ajdective
uninterested	negative	-0.2	-1	ajdective
uninvited	negative	-0.2	-1	ajdective
unknown	negative	-0.2	-1	ajdective
unmotivated	negative	-0.2	-1	ajdective
unnatural	negative	-0.2	-1	ajdective
unnecessary	negative	-0.2	-1	ajdective
unpainted	negative	-0.2	-1	ajdective
unpolished	negative	-0.2	-1	ajdective
unready	negative	-0.2	-1	ajdective
unrealistic	negative	-0.2	-1	ajdective
unreasonable	negative	-0.2	-1	ajdective
unredeemable	negative	-0.2	-1	ajdective
unreliable	negative	-0.2	-1	ajdective
un-special	negative	-0.2	-1	ajdective
unspectacular	negative	-0.2	-1	ajdective
unsteady	negative	-0.2	-1	ajdective
unsuccessful	negative	-0.2	-1	ajdective
unsure	negative	-0.2	-1	ajdective
untimely	negative	-0.2	-1	ajdective
uphill	negative	-0.2	-1	ajdective
variable	negative	-0.2	-1	ajdective
vernacular	negative	-0.2	-1	ajdective
vocal	negative	-0.2	-1	ajdective
wary	negative	-0.2	-1	ajdective
weary	negative	-0.2	-1	ajdective
weird	negative	-0.2	-1	ajdective
white-faced	negative	-0.2	-1	ajdective
wild	negative	-0.2	-1	ajdective
wistful	negative	-0.2	-1	ajdective
cheap	negative	-0.2	-1	ajdective
dependent	negative	-0.2	-1	ajdective
after-the-fact	negative	-0.2	-1	ajdective
ambivalent	negative	-0.2	-1	ajdective
ancient	negative	-0.2	-1	ajdective
apparent	negative	-0.2	-1	ajdective
artificial	negative	-0.2	-1	ajdective
big-breasted	negative	-0.2	-1	ajdective
bittersweet	negative	-0.2	-1	ajdective
cafeteria-style	negative	-0.2	-1	ajdective
cafeteria-type	negative	-0.2	-1	ajdective
continual	negative	-0.2	-1	ajdective
dark	negative	-0.2	-1	ajdective
dated	negative	-0.2	-1	ajdective
dionysian	negative	-0.2	-1	ajdective
discontented	negative	-0.2	-1	ajdective
drivable	negative	-0.2	-1	ajdective
elementary	negative	-0.2	-1	ajdective
extreme	negative	-0.2	-1	ajdective
fantastical	negative	-0.2	-1	ajdective
foreign	negative	-0.2	-1	ajdective
hopped-up	negative	-0.2	-1	ajdective
hypersensitive	negative	-0.2	-1	ajdective
implacable	negative	-0.2	-1	ajdective
indistinct	negative	-0.2	-1	ajdective
inextricable	negative	-0.2	-1	ajdective
intentional	negative	-0.2	-1	ajdective
lanky	negative	-0.2	-1	ajdective
latch-key	negative	-0.2	-1	ajdective
off-point	negative	-0.2	-1	ajdective
paternal	negative	-0.2	-1	ajdective
pint-sized	negative	-0.2	-1	ajdective
pre-packaged	negative	-0.2	-1	ajdective
sky-high	negative	-0.2	-1	ajdective
soporific	negative	-0.2	-1	ajdective
stark	negative	-0.2	-1	ajdective
throaty	negative	-0.2	-1	ajdective
traditionless	negative	-0.2	-1	ajdective
unclear	negative	-0.2	-1	ajdective
unidentifiable	negative	-0.2	-1	ajdective
unintended	negative	-0.2	-1	ajdective
winded	negative	-0.2	-1	ajdective
self-appointed	negative	-0.2	-1	ajdective
disposable	negative	-0.2	-1	ajdective
perfunctory	negative	-0.2	-1	ajdective
uninvolving	negative	-0.2	-1	ajdective
pervasive	negative	-0.2	-1	ajdective
pseudo-intellectual	negative	-0.2	-1	ajdective
flighty	negative	-0.2	-1	ajdective
hapless	negative	-0.2	-1	ajdective
pushy	negative	-0.2	-1	ajdective
grainy	negative	-0.2	-1	ajdective
incredulous	negative	-0.2	-1	ajdective
talky	negative	-0.2	-1	ajdective
campy	negative	-0.2	-1	ajdective
flamboyant	negative	-0.2	-1	ajdective
self-congratulatory	negative	-0.2	-1	ajdective
unexceptional	negative	-0.2	-1	ajdective
lethargic	negative	-0.2	-1	ajdective
stereotyped	negative	-0.2	-1	ajdective
buck-toothed	negative	-0.2	-1	ajdective
nihilistic	negative	-0.2	-1	ajdective
slow-moving	negative	-0.2	-1	ajdective
tame	negative	-0.2	-1	ajdective
petulant	negative	-0.2	-1	ajdective
amoral	negative	-0.2	-1	ajdective
poverty-stricken	negative	-0.2	-1	ajdective
deceitful	negative	-0.2	-1	ajdective
ratty	negative	-0.2	-1	ajdective
slapstick	negative	-0.2	-1	ajdective
knee-jerk	negative	-0.2	-1	ajdective
nerdy	negative	-0.2	-1	ajdective
fragmentary	negative	-0.2	-1	ajdective
moralistic	negative	-0.2	-1	ajdective
no-frills	negative	-0.2	-1	ajdective
ragged	negative	-0.2	-1	ajdective
brute	negative	-0.2	-1	ajdective
uneveness	negative	-0.2	-1	ajdective
excess	negative	-0.2	-1	ajdective
frightening	negative	-0.2	-1	ajdective
limited	negative	-0.2	-1	ajdective
isolated	negative	-0.2	-1	ajdective
passive-agressive	negative	-0.2	-1	ajdective
thuggish	negative	-0.2	-1	ajdective
cutesy	negative	-0.2	-1	ajdective
untested	negative	-0.2	-1	ajdective
unskilled	negative	-0.2	-1	ajdective
unprofitable	negative	-0.2	-1	ajdective
uproductive	negative	-0.2	-1	ajdective
unlawful	negative	-0.2	-1	ajdective
stunted	negative	-0.2	-1	ajdective
sneaky	negative	-0.2	-1	ajdective
slight	negative	-0.2	-1	ajdective
skimpy	negative	-0.2	-1	ajdective
short-lived	negative	-0.2	-1	ajdective
oversimplified	negative	-0.2	-1	ajdective
obsure	negative	-0.2	-1	ajdective
murky	negative	-0.2	-1	ajdective
needy	negative	-0.2	-1	ajdective
imposing	negative	-0.2	-1	ajdective
illicit	negative	-0.2	-1	ajdective
fragmented	negative	-0.2	-1	ajdective
extraneous	negative	-0.2	-1	ajdective
errant	negative	-0.2	-1	ajdective
curt	negative	-0.2	-1	ajdective
complicated	negative	-0.2	-1	ajdective
astray	negative	-0.2	-1	ajdective
wily	negative	-0.2	-1	ajdective
wayward	negative	-0.2	-1	ajdective
unweildy	negative	-0.2	-1	ajdective
unsophisticated	negative	-0.2	-1	ajdective
unruly	negative	-0.2	-1	ajdective
unqualified	negative	-0.2	-1	ajdective
unfeeling	negative	-0.2	-1	ajdective
unease	negative	-0.2	-1	ajdective
undignified	negative	-0.2	-1	ajdective
uncouth	negative	-0.2	-1	ajdective
uncivil	negative	-0.2	-1	ajdective
tawdry	negative	-0.2	-1	ajdective
thorny	negative	-0.2	-1	ajdective
stodgy	negative	-0.2	-1	ajdective
skittish	negative	-0.2	-1	ajdective
scared	negative	-0.2	-1	ajdective
reticent	negative	-0.2	-1	ajdective
rash	negative	-0.2	-1	ajdective
prideful	negative	-0.2	-1	ajdective
presumptuous	negative	-0.2	-1	ajdective
plebian	negative	-0.2	-1	ajdective
pessimistic	negative	-0.2	-1	ajdective
peevish	negative	-0.2	-1	ajdective
obtuse	negative	-0.2	-1	ajdective
obstinate	negative	-0.2	-1	ajdective
misbegotten	negative	-0.2	-1	ajdective
macabre	negative	-0.2	-1	ajdective
languid	negative	-0.2	-1	ajdective
laconic	negative	-0.2	-1	ajdective
lame-duck	negative	-0.2	-1	ajdective
irritable	negative	-0.2	-1	ajdective
insubstantial	negative	-0.2	-1	ajdective
insecurity	negative	-0.2	-1	ajdective
infirme	negative	-0.2	-1	ajdective
ineloquent	negative	-0.2	-1	ajdective
inelegant	negative	-0.2	-1	ajdective
indolent	negative	-0.2	-1	ajdective
incongruous	negative	-0.2	-1	ajdective
inarticulate	negative	-0.2	-1	ajdective
impure	negative	-0.2	-1	ajdective
inprudent	negative	-0.2	-1	ajdective
improper	negative	-0.2	-1	ajdective
impractical	negative	-0.2	-1	ajdective
imposition	negative	-0.2	-1	ajdective
immodest	negative	-0.2	-1	ajdective
immoderate	negative	-0.2	-1	ajdective
illusory	negative	-0.2	-1	ajdective
ill-mannered	negative	-0.2	-1	ajdective
ill-favored	negative	-0.2	-1	ajdective
hasty	negative	-0.2	-1	ajdective
halfhearted	negative	-0.2	-1	ajdective
grouchy	negative	-0.2	-1	ajdective
heavyhearted	negative	-0.2	-1	ajdective
gawky	negative	-0.2	-1	ajdective
gauche	negative	-0.2	-1	ajdective
foreboding	negative	-0.2	-1	ajdective
fastidious	negative	-0.2	-1	ajdective
erroneous	negative	-0.2	-1	ajdective
erratic	negative	-0.2	-1	ajdective
doubtful	negative	-0.2	-1	ajdective
distracting	negative	-0.2	-1	ajdective
discourteous	negative	-0.2	-1	ajdective
disadvantageous	negative	-0.2	-1	ajdective
devoid	negative	-0.2	-1	ajdective
defunct	negative	-0.2	-1	ajdective
counterproductive	negative	-0.2	-1	ajdective
confusion	negative	-0.2	-1	ajdective
careless	negative	-0.2	-1	ajdective
brusque	negative	-0.2	-1	ajdective
boastful	negative	-0.2	-1	ajdective
aimless	negative	-0.2	-1	ajdective
aloof	negative	-0.2	-1	ajdective
gratuitous	negative	-0.4	-2	ajdective
derogatory	negative	-0.4	-2	ajdective
rain-soaked	negative	-0.4	-2	ajdective
adverse	negative	-0.4	-2	ajdective
alarming	negative	-0.4	-2	ajdective
alien	negative	-0.4	-2	ajdective
alleged	negative	-0.4	-2	ajdective
amateurish	negative	-0.4	-2	ajdective
amateurish-looking	negative	-0.4	-2	ajdective
anxious	negative	-0.4	-2	ajdective
apprehensive	negative	-0.4	-2	ajdective
arbitrary	negative	-0.4	-2	ajdective
awry	negative	-0.4	-2	ajdective
black-market	negative	-0.4	-2	ajdective
bland	negative	-0.4	-2	ajdective
bleary-eyed	negative	-0.4	-2	ajdective
bloody	negative	-0.4	-2	ajdective
brash	negative	-0.4	-2	ajdective
bulky	negative	-0.4	-2	ajdective
chaotic	negative	-0.4	-2	ajdective
chintzy	negative	-0.4	-2	ajdective
chubby	negative	-0.4	-2	ajdective
underwritten	negative	-0.4	-2	ajdective
undone	negative	-0.4	-2	ajdective
cheesy	negative	-0.4	-2	ajdective
chunky	negative	-0.4	-2	ajdective
clumsy	negative	-0.4	-2	ajdective
clunky	negative	-0.4	-2	ajdective
coarse	negative	-0.4	-2	ajdective
cocky	negative	-0.4	-2	ajdective
confusing	negative	-0.4	-2	ajdective
congested	negative	-0.4	-2	ajdective
convoluted	negative	-0.4	-2	ajdective
cooked-on	negative	-0.4	-2	ajdective
corny	negative	-0.4	-2	ajdective
cost-cutting	negative	-0.4	-2	ajdective
costly	negative	-0.4	-2	ajdective
cotton-pickin	negative	-0.4	-2	ajdective
cotton-picking	negative	-0.4	-2	ajdective
creaky	negative	-0.4	-2	ajdective
critical	negative	-0.4	-2	ajdective
crumbling	negative	-0.4	-2	ajdective
cumbersome	negative	-0.4	-2	ajdective
cursory	negative	-0.4	-2	ajdective
darn	negative	-0.4	-2	ajdective
depressed	negative	-0.4	-2	ajdective
derivative	negative	-0.4	-2	ajdective
desperate	negative	-0.4	-2	ajdective
deviant	negative	-0.4	-2	ajdective
dire	negative	-0.4	-2	ajdective
discriminating	negative	-0.4	-2	ajdective
disjointed	negative	-0.4	-2	ajdective
disorderly	negative	-0.4	-2	ajdective
disorganized	negative	-0.4	-2	ajdective
dissatisfied	negative	-0.4	-2	ajdective
double-cross	negative	-0.4	-2	ajdective
dubious	negative	-0.4	-2	ajdective
dull	negative	-0.4	-2	ajdective
emotionless	negative	-0.4	-2	ajdective
empty	negative	-0.4	-2	ajdective
evasive	negative	-0.4	-2	ajdective
excessive	negative	-0.4	-2	ajdective
fake	negative	-0.4	-2	ajdective
fast-food	negative	-0.4	-2	ajdective
featureless	negative	-0.4	-2	ajdective
fed-up	negative	-0.4	-2	ajdective
fierce	negative	-0.4	-2	ajdective
filmy	negative	-0.4	-2	ajdective
flaky	negative	-0.4	-2	ajdective
flat	negative	-0.4	-2	ajdective
flawed	negative	-0.4	-2	ajdective
flimsy	negative	-0.4	-2	ajdective
foolish	negative	-0.4	-2	ajdective
freaky	negative	-0.4	-2	ajdective
frustrated	negative	-0.4	-2	ajdective
frustrating	negative	-0.4	-2	ajdective
fugitive	negative	-0.4	-2	ajdective
fussy	negative	-0.4	-2	ajdective
futile	negative	-0.4	-2	ajdective
fuzzy	negative	-0.4	-2	ajdective
garden-variety	negative	-0.4	-2	ajdective
geeky	negative	-0.4	-2	ajdective
gimmicky	negative	-0.4	-2	ajdective
gothic	negative	-0.4	-2	ajdective
grave	negative	-0.4	-2	ajdective
greasy	negative	-0.4	-2	ajdective
greedy	negative	-0.4	-2	ajdective
gritty	negative	-0.4	-2	ajdective
gruff	negative	-0.4	-2	ajdective
gruff-voiced	negative	-0.4	-2	ajdective
grungy	negative	-0.4	-2	ajdective
guilty	negative	-0.4	-2	ajdective
hackneyed	negative	-0.4	-2	ajdective
half-bad	negative	-0.4	-2	ajdective
half-done	negative	-0.4	-2	ajdective
hard-to-reach	negative	-0.4	-2	ajdective
harsh	negative	-0.4	-2	ajdective
haughty	negative	-0.4	-2	ajdective
heavyish	negative	-0.4	-2	ajdective
hectic	negative	-0.4	-2	ajdective
heedless	negative	-0.4	-2	ajdective
hefty	negative	-0.4	-2	ajdective
hopeless	negative	-0.4	-2	ajdective
hubristic	negative	-0.4	-2	ajdective
humid	negative	-0.4	-2	ajdective
hungry	negative	-0.4	-2	ajdective
icy	negative	-0.4	-2	ajdective
ill	negative	-0.4	-2	ajdective
illegal	negative	-0.4	-2	ajdective
ill-fated	negative	-0.4	-2	ajdective
ill-fitting	negative	-0.4	-2	ajdective
illogical	negative	-0.4	-2	ajdective
ill-prepared	negative	-0.4	-2	ajdective
ill-tempered	negative	-0.4	-2	ajdective
immature	negative	-0.4	-2	ajdective
imminent	negative	-0.4	-2	ajdective
implausible	negative	-0.4	-2	ajdective
inaccurate	negative	-0.4	-2	ajdective
inadequate	negative	-0.4	-2	ajdective
inaudible	negative	-0.4	-2	ajdective
incessant	negative	-0.4	-2	ajdective
incommunicative	negative	-0.4	-2	ajdective
incompatible	negative	-0.4	-2	ajdective
incomplete	negative	-0.4	-2	ajdective
incorrect	negative	-0.4	-2	ajdective
inefficient	negative	-0.4	-2	ajdective
inept	negative	-0.4	-2	ajdective
inescapable	negative	-0.4	-2	ajdective
infamous	negative	-0.4	-2	ajdective
infertile	negative	-0.4	-2	ajdective
inflexible	negative	-0.4	-2	ajdective
inoperable	negative	-0.4	-2	ajdective
inoperative	negative	-0.4	-2	ajdective
insecure	negative	-0.4	-2	ajdective
intrusive	negative	-0.4	-2	ajdective
ironic	negative	-0.4	-2	ajdective
jealous	negative	-0.4	-2	ajdective
juvenile	negative	-0.4	-2	ajdective
lackadaisical	negative	-0.4	-2	ajdective
lackluster	negative	-0.4	-2	ajdective
lame	negative	-0.4	-2	ajdective
languishing	negative	-0.4	-2	ajdective
laughable	negative	-0.4	-2	ajdective
lax	negative	-0.4	-2	ajdective
lazy	negative	-0.4	-2	ajdective
leaden	negative	-0.4	-2	ajdective
less-than-desireable	negative	-0.4	-2	ajdective
less-than-reliable	negative	-0.4	-2	ajdective
less-than-substantial	negative	-0.4	-2	ajdective
lilliputian	negative	-0.4	-2	ajdective
lonely	negative	-0.4	-2	ajdective
longish	negative	-0.4	-2	ajdective
long-winded	negative	-0.4	-2	ajdective
loony	negative	-0.4	-2	ajdective
loopy	negative	-0.4	-2	ajdective
lopsided	negative	-0.4	-2	ajdective
loud	negative	-0.4	-2	ajdective
luckewarm	negative	-0.4	-2	ajdective
lukewarm	negative	-0.4	-2	ajdective
lustful	negative	-0.4	-2	ajdective
maddening	negative	-0.4	-2	ajdective
maladjusted	negative	-0.4	-2	ajdective
messy	negative	-0.4	-2	ajdective
mindless	negative	-0.4	-2	ajdective
mischievous	negative	-0.4	-2	ajdective
misguided	negative	-0.4	-2	ajdective
mish	negative	-0.4	-2	ajdective
mish-mash	negative	-0.4	-2	ajdective
mis-match	negative	-0.4	-2	ajdective
mistaken	negative	-0.4	-2	ajdective
monotone	negative	-0.4	-2	ajdective
muddy	negative	-0.4	-2	ajdective
mundane	negative	-0.4	-2	ajdective
naive	negative	-0.4	-2	ajdective
naked	negative	-0.4	-2	ajdective
nameless	negative	-0.4	-2	ajdective
negligent	negative	-0.4	-2	ajdective
negligible	negative	-0.4	-2	ajdective
nit-picky	negative	-0.4	-2	ajdective
noisy	negative	-0.4	-2	ajdective
non-adjustable	negative	-0.4	-2	ajdective
non-calibrated	negative	-0.4	-2	ajdective
non-communicative	negative	-0.4	-2	ajdective
non-existant	negative	-0.4	-2	ajdective
nonexistent	negative	-0.4	-2	ajdective
non-existent	negative	-0.4	-2	ajdective
no-no	negative	-0.4	-2	ajdective
nonsensical	negative	-0.4	-2	ajdective
nosy	negative	-0.4	-2	ajdective
notchy	negative	-0.4	-2	ajdective
not-quite-mediocre	negative	-0.4	-2	ajdective
not-too-subtle	negative	-0.4	-2	ajdective
numb	negative	-0.4	-2	ajdective
obligatory	negative	-0.4	-2	ajdective
obvious	negative	-0.4	-2	ajdective
offended	negative	-0.4	-2	ajdective
offensive	negative	-0.4	-2	ajdective
one-note	negative	-0.4	-2	ajdective
one-track	negative	-0.4	-2	ajdective
ornery	negative	-0.4	-2	ajdective
outdated	negative	-0.4	-2	ajdective
over-done	negative	-0.4	-2	ajdective
overdue	negative	-0.4	-2	ajdective
over-engineered	negative	-0.4	-2	ajdective
overgrown	negative	-0.4	-2	ajdective
over-played	negative	-0.4	-2	ajdective
over-powerful	negative	-0.4	-2	ajdective
oversized	negative	-0.4	-2	ajdective
over-spiritualized	negative	-0.4	-2	ajdective
overweight	negative	-0.4	-2	ajdective
overzealous	negative	-0.4	-2	ajdective
paranoid	negative	-0.4	-2	ajdective
peculiar	negative	-0.4	-2	ajdective
pedestrian	negative	-0.4	-2	ajdective
perplexed	negative	-0.4	-2	ajdective
persistent	negative	-0.4	-2	ajdective
picky	negative	-0.4	-2	ajdective
pinched	negative	-0.4	-2	ajdective
poor	negative	-0.4	-2	ajdective
primitive	negative	-0.4	-2	ajdective
punchy	negative	-0.4	-2	ajdective
punk	negative	-0.4	-2	ajdective
puritan	negative	-0.4	-2	ajdective
put-off	negative	-0.4	-2	ajdective
quite-boring	negative	-0.4	-2	ajdective
regretful	negative	-0.4	-2	ajdective
relentless	negative	-0.4	-2	ajdective
righteous	negative	-0.4	-2	ajdective
rip-off	negative	-0.4	-2	ajdective
rip-offs	negative	-0.4	-2	ajdective
risky	negative	-0.4	-2	ajdective
robot-sounding	negative	-0.4	-2	ajdective
rowdy	negative	-0.4	-2	ajdective
rubbery	negative	-0.4	-2	ajdective
run-down	negative	-0.4	-2	ajdective
ruthless	negative	-0.4	-2	ajdective
sad	negative	-0.4	-2	ajdective
sappy	negative	-0.4	-2	ajdective
second-skimmings	negative	-0.4	-2	ajdective
secretive	negative	-0.4	-2	ajdective
self-destructive	negative	-0.4	-2	ajdective
self-indulgent	negative	-0.4	-2	ajdective
self-inflicted	negative	-0.4	-2	ajdective
self-righteous	negative	-0.4	-2	ajdective
selling-out	negative	-0.4	-2	ajdective
sell-out	negative	-0.4	-2	ajdective
shabby	negative	-0.4	-2	ajdective
shaky	negative	-0.4	-2	ajdective
shady	negative	-0.4	-2	ajdective
shallow	negative	-0.4	-2	ajdective
sheepish	negative	-0.4	-2	ajdective
shoeless	negative	-0.4	-2	ajdective
skeptical	negative	-0.4	-2	ajdective
sketchy	negative	-0.4	-2	ajdective
slack	negative	-0.4	-2	ajdective
sluggish	negative	-0.4	-2	ajdective
