term	valence	subjectivity
devastated	negative	strongsubj
devastating	negative	strongsubj
devastatingly	negative	strongsubj
devil	negative	strongsubj
devilish	negative	strongsubj
devilishly	negative	strongsubj
devilment	negative	strongsubj
devilry	negative	strongsubj
devious	negative	strongsubj
deviously	negative	strongsubj
deviousness	negative	strongsubj
devoid	negative	strongsubj
devote	positive	strongsubj
devoted	positive	strongsubj
devotee	positive	strongsubj
devotion	positive	strongsubj
dexterous	positive	strongsubj
dexterously	positive	strongsubj
dextrous	positive	strongsubj
diabolic	negative	strongsubj
diabolical	negative	strongsubj
diabolically	negative	strongsubj
diametrically	negative	strongsubj
diatribe	negative	strongsubj
diatribes	negative	strongsubj
difficulty	negative	strongsubj
diffidence	negative	strongsubj
dignified	positive	strongsubj
dignity	positive	strongsubj
digress	negative	strongsubj
dilapidated	negative	strongsubj
dilly-dally	negative	strongsubj
dim	negative	strongsubj
dire	negative	strongsubj
direly	negative	strongsubj
direness	negative	strongsubj
disaccord	negative	strongsubj
disadvantage	negative	strongsubj
disadvantageous	negative	strongsubj
disaffect	negative	strongsubj
disaffected	negative	strongsubj
disaffirm	negative	strongsubj
disagree	negative	strongsubj
disagreeable	negative	strongsubj
disagreeably	negative	strongsubj
disagreement	negative	strongsubj
disallow	negative	strongsubj
disappoint	negative	strongsubj
disappointed	negative	strongsubj
disappointing	negative	strongsubj
disappointingly	negative	strongsubj
disappointment	negative	strongsubj
disapprobation	negative	strongsubj
disapproval	negative	strongsubj
disapprove	negative	strongsubj
disapproving	negative	strongsubj
disarray	negative	strongsubj
disaster	negative	strongsubj
disastrous	negative	strongsubj
disastrously	negative	strongsubj
disavow	negative	strongsubj
disavowal	negative	strongsubj
disbelief	negative	strongsubj
disbelieve	negative	strongsubj
disbeliever	negative	strongsubj
discern	neutral	strongsubj
discerning	positive	strongsubj
disclaim	negative	strongsubj
discombobulate	negative	strongsubj
discomfit	negative	strongsubj
discomfititure	negative	strongsubj
disconcert	negative	strongsubj
disconcerted	negative	strongsubj
disconcerting	negative	strongsubj
disconcertingly	negative	strongsubj
disconsolate	negative	strongsubj
disconsolately	negative	strongsubj
disconsolation	negative	strongsubj
discontent	negative	strongsubj
discontented	negative	strongsubj
discontentedly	negative	strongsubj
discontinuity	negative	strongsubj
discord	negative	strongsubj
discordance	negative	strongsubj
discordant	negative	strongsubj
discountenance	negative	strongsubj
discourage	negative	strongsubj
discouragement	negative	strongsubj
discouraging	negative	strongsubj
discouragingly	negative	strongsubj
discourteous	negative	strongsubj
discourteously	negative	strongsubj
discredit	negative	strongsubj
discriminatory	negative	strongsubj
disdain	negative	strongsubj
disdainful	negative	strongsubj
disdainfully	negative	strongsubj
disfavor	negative	strongsubj
disgrace	negative	strongsubj
disgraced	negative	strongsubj
disgraceful	negative	strongsubj
disgracefully	negative	strongsubj
disgruntle	negative	strongsubj
disgruntled	negative	strongsubj
disgust	negative	strongsubj
disgusted	negative	strongsubj
disgustedly	negative	strongsubj
disgustful	negative	strongsubj
disgustfully	negative	strongsubj
disgusting	negative	strongsubj
disgustingly	negative	strongsubj
dishearten	negative	strongsubj
disheartening	negative	strongsubj
dishearteningly	negative	strongsubj
dishonest	negative	strongsubj
dishonestly	negative	strongsubj
dishonesty	negative	strongsubj
dishonor	negative	strongsubj
dishonorable	negative	strongsubj
dishonorablely	negative	strongsubj
disillusion	negative	strongsubj
disillusioned	negative	strongsubj
disinclination	negative	strongsubj
disinclined	negative	strongsubj
disingenuous	negative	strongsubj
disingenuously	negative	strongsubj
disinterest	negative	strongsubj
disinterested	negative	strongsubj
dislike	negative	strongsubj
disloyal	negative	strongsubj
disloyalty	negative	strongsubj
dismal	negative	strongsubj
dismally	negative	strongsubj
dismalness	negative	strongsubj
dismay	negative	strongsubj
dismayed	negative	strongsubj
dismaying	negative	strongsubj
dismayingly	negative	strongsubj
dismissive	negative	strongsubj
dismissively	negative	strongsubj
disobedience	negative	strongsubj
disobedient	negative	strongsubj
disobey	negative	strongsubj
disown	negative	strongsubj
disorganized	negative	strongsubj
disorient	negative	strongsubj
disoriented	negative	strongsubj
disparage	negative	strongsubj
disparaging	negative	strongsubj
disparagingly	negative	strongsubj
dispirit	negative	strongsubj
dispirited	negative	strongsubj
dispiritedly	negative	strongsubj
dispiriting	negative	strongsubj
displease	negative	strongsubj
displeasing	negative	strongsubj
displeasure	negative	strongsubj
disposition	neutral	strongsubj
disprove	negative	strongsubj
disputable	negative	strongsubj
dispute	negative	strongsubj
disputed	negative	strongsubj
disquiet	negative	strongsubj
disquieting	negative	strongsubj
disquietingly	negative	strongsubj
disquietude	negative	strongsubj
disregard	negative	strongsubj
disregardful	negative	strongsubj
disreputable	negative	strongsubj
disrepute	negative	strongsubj
disrespect	negative	strongsubj
disrespectable	negative	strongsubj
disrespectablity	negative	strongsubj
disrespectful	negative	strongsubj
disrespectfully	negative	strongsubj
disrespectfulness	negative	strongsubj
disrespecting	negative	strongsubj
disrupt	negative	strongsubj
disruption	negative	strongsubj
disruptive	negative	strongsubj
dissatisfaction	negative	strongsubj
dissatisfactory	negative	strongsubj
dissatisfied	negative	strongsubj
dissatisfy	negative	strongsubj
dissatisfying	negative	strongsubj
dissemble	negative	strongsubj
dissembler	negative	strongsubj
dissension	negative	strongsubj
dissent	negative	strongsubj
dissenter	negative	strongsubj
dissention	negative	strongsubj
disservice	negative	strongsubj
dissidence	negative	strongsubj
dissident	negative	strongsubj
dissidents	negative	strongsubj
dissocial	negative	strongsubj
dissolute	negative	strongsubj
dissonance	negative	strongsubj
dissonant	negative	strongsubj
dissonantly	negative	strongsubj
dissuade	negative	strongsubj
dissuasive	negative	strongsubj
distaste	negative	strongsubj
distasteful	negative	strongsubj
distastefully	negative	strongsubj
distinguished	positive	strongsubj
distort	negative	strongsubj
distortion	negative	strongsubj
distracting	negative	strongsubj
distraction	negative	strongsubj
distraught	negative	strongsubj
distraughtly	negative	strongsubj
distraughtness	negative	strongsubj
distress	negative	strongsubj
distressed	negative	strongsubj
distressing	negative	strongsubj
distressingly	negative	strongsubj
distrust	negative	strongsubj
distrustful	negative	strongsubj
distrusting	negative	strongsubj
disturb	negative	strongsubj
disturbed	negative	strongsubj
disturbed-let	negative	strongsubj
disturbing	negative	strongsubj
disturbingly	negative	strongsubj
disunity	negative	strongsubj
disvalue	negative	strongsubj
divine	positive	strongsubj
divinely	positive	strongsubj
divisive	negative	strongsubj
divisively	negative	strongsubj
divisiveness	negative	strongsubj
dizzy	negative	strongsubj
dizzing	negative	strongsubj
dizzingly	negative	strongsubj
doddering	negative	strongsubj
dodge	positive	strongsubj
dodgey	negative	strongsubj
dogged	negative	strongsubj
doggedly	negative	strongsubj
dogmatic	negative	strongsubj
doldrums	negative	strongsubj
domination	negative	strongsubj
domineer	negative	strongsubj
domineering	negative	strongsubj
doom	negative	strongsubj
doomsday	negative	strongsubj
dote	positive	strongsubj
dotingly	positive	strongsubj
doubt	negative	strongsubj
doubtful	negative	strongsubj
doubtfully	negative	strongsubj
doubtless	positive	strongsubj
doubts	negative	strongsubj
downbeat	negative	strongsubj
downcast	negative	strongsubj
downer	negative	strongsubj
downfall	negative	strongsubj
downfallen	negative	strongsubj
downhearted	negative	strongsubj
downheartedly	negative	strongsubj
downright	neutral	strongsubj
downside	negative	strongsubj
drab	negative	strongsubj
draconian	negative	strongsubj
draconic	negative	strongsubj
dragon	negative	strongsubj
dragons	negative	strongsubj
dragoon	negative	strongsubj
drain	negative	strongsubj
drama	negative	strongsubj
dramatic	neutral	strongsubj
dramatically	neutral	strongsubj
drastic	negative	strongsubj
drastically	negative	strongsubj
dread	negative	strongsubj
dreadful	negative	strongsubj
dreadfully	negative	strongsubj
dreadfulness	negative	strongsubj
dream	positive	strongsubj
dreamland	positive	strongsubj
dreary	negative	strongsubj
drones	negative	strongsubj
drunk	negative	strongsubj
drunkard	negative	strongsubj
drunken	negative	strongsubj
dubious	negative	strongsubj
dubiously	negative	strongsubj
dubitable	negative	strongsubj
dullard	negative	strongsubj
dumb	negative	strongsubj
dumbfound	negative	strongsubj
dumbfounded	negative	strongsubj
dummy	negative	strongsubj
dunce	negative	strongsubj
dungeon	negative	strongsubj
dungeons	negative	strongsubj
dupe	negative	strongsubj
eager	positive	strongsubj
eagerly	positive	strongsubj
eagerness	positive	strongsubj
earnest	positive	strongsubj
earnestly	positive	strongsubj
earnestness	positive	strongsubj
earsplitting	negative	strongsubj
easygoing	positive	strongsubj
ebullience	positive	strongsubj
ebullient	positive	strongsubj
ebulliently	positive	strongsubj
eclectic	positive	strongsubj
ecstasies	positive	strongsubj
ecstasy	positive	strongsubj
ecstatic	positive	strongsubj
ecstatically	positive	strongsubj
edgy	negative	strongsubj
edify	positive	strongsubj
effigy	negative	strongsubj
effortless	positive	strongsubj
effortlessly	positive	strongsubj
effrontery	negative	strongsubj
effusion	positive	strongsubj
effusive	positive	strongsubj
effusively	positive	strongsubj
effusiveness	positive	strongsubj
ego	negative	strongsubj
egocentric	negative	strongsubj
egomania	negative	strongsubj
egotism	negative	strongsubj
egotistical	negative	strongsubj
egotistically	negative	strongsubj
egregious	negative	strongsubj
egregiously	negative	strongsubj
ejaculate	negative	strongsubj
elaborate	neutral	strongsubj
elan	positive	strongsubj
elated	positive	strongsubj
elatedly	positive	strongsubj
elation	positive	strongsubj
election-rigger	negative	strongsubj
electrification	positive	strongsubj
elegance	positive	strongsubj
elegant	positive	strongsubj
elegantly	positive	strongsubj
eloquence	positive	strongsubj
eloquent	positive	strongsubj
eloquently	positive	strongsubj
emaciated	negative	strongsubj
emasculate	negative	strongsubj
embarrass	negative	strongsubj
embarrassing	negative	strongsubj
embarrassingly	negative	strongsubj
embarrassment	negative	strongsubj
embellish	positive	strongsubj
embodiment	neutral	strongsubj
embrace	positive	strongsubj
embroil	negative	strongsubj
embroiled	negative	strongsubj
embroilment	negative	strongsubj
eminence	positive	strongsubj
eminent	positive	strongsubj
emotion	neutral	strongsubj
emotional	negative	strongsubj
empathize	negative	strongsubj
empathy	negative	strongsubj
emphatic	negative	strongsubj
emphatically	negative	strongsubj
emptiness	negative	strongsubj
enchant	positive	strongsubj
enchanted	positive	strongsubj
enchanting	positive	strongsubj
enchantingly	positive	strongsubj
encouragement	positive	strongsubj
encouraging	positive	strongsubj
encouragingly	positive	strongsubj
endanger	negative	strongsubj
endear	positive	strongsubj
endearing	positive	strongsubj
endorse	positive	strongsubj
endorsement	positive	strongsubj
endorser	positive	strongsubj
endurable	positive	strongsubj
endure	positive	strongsubj
enduring	positive	strongsubj
enervate	negative	strongsubj
enfeeble	negative	strongsubj
enflame	negative	strongsubj
engaging	positive	strongsubj
engrossing	positive	strongsubj
enjoin	negative	strongsubj
enjoyable	positive	strongsubj
enjoyably	positive	strongsubj
enjoyment	positive	strongsubj
enmity	negative	strongsubj
ennoble	positive	strongsubj
enormities	negative	strongsubj
enormity	negative	strongsubj
enormous	negative	strongsubj
enormously	negative	strongsubj
enrage	negative	strongsubj
enraged	negative	strongsubj
enrapt	positive	strongsubj
enraptured	positive	strongsubj
enslave	negative	strongsubj
entertaining	positive	strongsubj
enthral	positive	strongsubj
enthrall	positive	strongsubj
enthralled	positive	strongsubj
enthuse	positive	strongsubj
enthusiasm	positive	strongsubj
enthusiast	positive	strongsubj
enthusiastic	positive	strongsubj
enthusiastically	positive	strongsubj
entice	positive	strongsubj
enticing	positive	strongsubj
enticingly	positive	strongsubj
entirely	neutral	strongsubj
entranced	positive	strongsubj
entrancing	positive	strongsubj
entrap	negative	strongsubj
entrapment	negative	strongsubj
entreat	positive	strongsubj
entreatingly	positive	strongsubj
entrenchment	neutral	strongsubj
enviable	positive	strongsubj
enviably	positive	strongsubj
envious	negative	strongsubj
enviously	negative	strongsubj
enviousness	negative	strongsubj
envy	negative	strongsubj
epic	positive	strongsubj
epitome	positive	strongsubj
equivocal	negative	strongsubj
err	negative	strongsubj
erratic	negative	strongsubj
erratically	negative	strongsubj
erroneous	negative	strongsubj
erroneously	negative	strongsubj
erudite	positive	strongsubj
eschew	negative	strongsubj
especially	positive	strongsubj
esteem	positive	strongsubj
estranged	negative	strongsubj
eternity	positive	strongsubj
ethical	positive	strongsubj
eulogize	positive	strongsubj
euphoria	positive	strongsubj
euphoric	positive	strongsubj
euphorically	positive	strongsubj
evaluate	neutral	strongsubj
everlasting	positive	strongsubj
evidently	positive	strongsubj
evil	negative	strongsubj
evildoer	negative	strongsubj
evils	negative	strongsubj
eviscerate	negative	strongsubj
evocative	positive	strongsubj
exacerbate	negative	strongsubj
exact	neutral	strongsubj
exactly	neutral	strongsubj
exaggerate	negative	strongsubj
exaggeration	negative	strongsubj
exalt	positive	strongsubj
exaltation	positive	strongsubj
exalted	positive	strongsubj
exaltedly	positive	strongsubj
exalting	positive	strongsubj
exaltingly	positive	strongsubj
exasperate	negative	strongsubj
exasperation	negative	strongsubj
exasperating	negative	strongsubj
exasperatingly	negative	strongsubj
exceed	positive	strongsubj
exceeding	positive	strongsubj
exceedingly	positive	strongsubj
excel	positive	strongsubj
excellence	positive	strongsubj
excellency	positive	strongsubj
excellent	positive	strongsubj
excellently	positive	strongsubj
exceptional	positive	strongsubj
exceptionally	positive	strongsubj
excessive	negative	strongsubj
excessively	negative	strongsubj
excited	positive	strongsubj
excitedly	positive	strongsubj
excitedness	positive	strongsubj
excitement	positive	strongsubj
exciting	positive	strongsubj
excitingly	positive	strongsubj
exclaim	negative	strongsubj
excoriate	negative	strongsubj
excruciating	negative	strongsubj
excruciatingly	negative	strongsubj
excusable	positive	strongsubj
execrate	negative	strongsubj
exemplar	positive	strongsubj
exemplary	positive	strongsubj
exhilarate	positive	strongsubj
exhilarating	positive	strongsubj
exhilaratingly	positive	strongsubj
exhilaration	positive	strongsubj
exhort	negative	strongsubj
exonerate	positive	strongsubj
exorbitant	negative	strongsubj
exorbitantance	negative	strongsubj
exorbitantly	negative	strongsubj
expansive	positive	strongsubj
expertly	positive	strongsubj
expire	negative	strongsubj
explicit	positive	strongsubj
explicitly	positive	strongsubj
exploit	negative	strongsubj
exploitation	negative	strongsubj
expunge	negative	strongsubj
exquisite	positive	strongsubj
exquisitely	positive	strongsubj
extemporize	neutral	strongsubj
extensively	neutral	strongsubj
exterminate	negative	strongsubj
extermination	negative	strongsubj
extol	positive	strongsubj
extoll	positive	strongsubj
extortion	negative	strongsubj
extraordinarily	positive	strongsubj
extraordinary	positive	strongsubj
extravagance	negative	strongsubj
extravagant	negative	strongsubj
extravagantly	negative	strongsubj
extreme	negative	strongsubj
extremely	negative	strongsubj
exuberance	positive	strongsubj
exuberant	positive	strongsubj
exuberantly	positive	strongsubj
exult	positive	strongsubj
exultation	positive	strongsubj
exultingly	positive	strongsubj
fabrication	negative	strongsubj
fabulous	positive	strongsubj
fabulously	positive	strongsubj
facetious	negative	strongsubj
facetiously	negative	strongsubj
fact	neutral	strongsubj
facts	neutral	strongsubj
failing	negative	strongsubj
fainthearted	negative	strongsubj
faith	positive	strongsubj
faithful	positive	strongsubj
faithfully	positive	strongsubj
faithfulness	positive	strongsubj
faithless	negative	strongsubj
fake	negative	strongsubj
fallacies	negative	strongsubj
fallacious	negative	strongsubj
fallaciously	negative	strongsubj
fallaciousness	negative	strongsubj
fallacy	negative	strongsubj
fallout	negative	strongsubj
false	negative	strongsubj
falsehood	negative	strongsubj
falsely	negative	strongsubj
falsify	negative	strongsubj
falter	negative	strongsubj
fame	positive	strongsubj
famed	positive	strongsubj
famine	negative	strongsubj
famished	negative	strongsubj
famously	positive	strongsubj
fanatic	negative	strongsubj
fanatical	negative	strongsubj
fanatically	negative	strongsubj
fanaticism	negative	strongsubj
fanatics	negative	strongsubj
fanciful	negative	strongsubj
fancy	positive	strongsubj
fanfare	positive	strongsubj
fantastic	positive	strongsubj
fantastically	positive	strongsubj
fantasy	positive	strongsubj
far-fetched	negative	strongsubj
farfetched	negative	strongsubj
farce	negative	strongsubj
farcical	negative	strongsubj
farcical-yet-provocative	negative	strongsubj
farcically	negative	strongsubj
fascinate	positive	strongsubj
fascinating	positive	strongsubj
fascinatingly	positive	strongsubj
fascination	positive	strongsubj
fascism	negative	strongsubj
fascist	negative	strongsubj
fashionable	positive	strongsubj
fashionably	positive	strongsubj
fastidious	negative	strongsubj
fastidiously	negative	strongsubj
fastuous	negative	strongsubj
fatalistic	negative	strongsubj
fatalistically	negative	strongsubj
fateful	negative	strongsubj
fatefully	negative	strongsubj
fathomless	negative	strongsubj
fatuity	negative	strongsubj
fatuous	negative	strongsubj
fatuously	negative	strongsubj
fault	negative	strongsubj
favor	positive	strongsubj
favorable	positive	strongsubj
favorite	positive	strongsubj
fawn	both	strongsubj
fawningly	negative	strongsubj
favour	positive	strongsubj
fear	negative	strongsubj
fearful	negative	strongsubj
fearfully	negative	strongsubj
fearless	positive	strongsubj
fearlessly	positive	strongsubj
fears	negative	strongsubj
fearsome	negative	strongsubj
featly	positive	strongsubj
feckless	negative	strongsubj
feebleminded	negative	strongsubj
feel	neutral	strongsubj
feels	neutral	strongsubj
felt	neutral	strongsubj
feeling	neutral	strongsubj
feelings	neutral	strongsubj
feisty	positive	strongsubj
felicitate	positive	strongsubj
felicitous	positive	strongsubj
felicity	positive	strongsubj
fell	negative	strongsubj
ferocious	negative	strongsubj
ferociously	negative	strongsubj
ferocity	negative	strongsubj
fervent	positive	strongsubj
fervently	positive	strongsubj
fervid	positive	strongsubj
fervidly	positive	strongsubj
fervor	positive	strongsubj
festive	positive	strongsubj
fetid	negative	strongsubj
fiasco	negative	strongsubj
fib	negative	strongsubj
fibber	negative	strongsubj
fickle	negative	strongsubj
fictitious	negative	strongsubj
fidelity	positive	strongsubj
fidget	negative	strongsubj
fidgety	negative	strongsubj
fiend	negative	strongsubj
fiendish	negative	strongsubj
filth	negative	strongsubj
filthy	negative	strongsubj
finally	neutral	strongsubj
finely	positive	strongsubj
first-rate	positive	strongsubj
fit	positive	strongsubj
fitting	positive	strongsubj
fixer	neutral	strongsubj
flabbergast	negative	strongsubj
flabbergasted	negative	strongsubj
flagrant	negative	strongsubj
flagrantly	negative	strongsubj
flak	negative	strongsubj
flat-out	negative	strongsubj
flatter	positive	strongsubj
flattering	positive	strongsubj
flatteringly	positive	strongsubj
flaunt	negative	strongsubj
flawless	positive	strongsubj
flawlessly	positive	strongsubj
fleer	negative	strongsubj
flexible	positive	strongsubj
flighty	negative	strongsubj
flimflam	negative	strongsubj
flirt	negative	strongsubj
flirty	negative	strongsubj
floored	negative	strongsubj
flounder	negative	strongsubj
floundering	negative	strongsubj
flourish	positive	strongsubj
flourishing	positive	strongsubj
flout	negative	strongsubj
foe	negative	strongsubj
fond	positive	strongsubj
fondly	positive	strongsubj
fondness	positive	strongsubj
fool	negative	strongsubj
foolhardy	negative	strongsubj
foolish	negative	strongsubj
foolishly	negative	strongsubj
foolishness	negative	strongsubj
forbid	negative	strongsubj
forbidden	negative	strongsubj
foreboding	negative	strongsubj
forebodingly	negative	strongsubj
foremost	positive	strongsubj
forsee	neutral	strongsubj
foresight	positive	strongsubj
foretell	neutral	strongsubj
forgave	positive	strongsubj
forget	negative	strongsubj
forgetful	negative	strongsubj
forgetfully	negative	strongsubj
forgetfulness	negative	strongsubj
forgive	positive	strongsubj
forgiven	positive	strongsubj
forgiveness	positive	strongsubj
forgiving	positive	strongsubj
forgivingly	positive	strongsubj
forlorn	negative	strongsubj
forlornly	negative	strongsubj
formidable	negative	strongsubj
forsake	negative	strongsubj
forsaken	negative	strongsubj
forswear	negative	strongsubj
fortitude	positive	strongsubj
fortress	neutral	strongsubj
fortuitous	positive	strongsubj
fortuitously	positive	strongsubj
fortunate	positive	strongsubj
fortunately	positive	strongsubj
fortune	positive	strongsubj
foul	negative	strongsubj
foully	negative	strongsubj
foulness	negative	strongsubj
fractious	negative	strongsubj
fractiously	negative	strongsubj
fragrant	positive	strongsubj
frank	positive	strongsubj
frankly	neutral	strongsubj
frantic	negative	strongsubj
frantically	negative	strongsubj
franticly	negative	strongsubj
fraternize	negative	strongsubj
fraught	negative	strongsubj
freak	negative	strongsubj
freakish	negative	strongsubj
freakishly	negative	strongsubj
frazzle	negative	strongsubj
frazzled	negative	strongsubj
frenetic	negative	strongsubj
frenetically	negative	strongsubj
frenzied	negative	strongsubj
frenzy	negative	strongsubj
fret	negative	strongsubj
fretful	negative	strongsubj
friction	negative	strongsubj
frictions	negative	strongsubj
friendliness	positive	strongsubj
friendly	positive	strongsubj
friggin	negative	strongsubj
fright	negative	strongsubj
frighten	negative	strongsubj
frightening	negative	strongsubj
frighteningly	negative	strongsubj
frightful	negative	strongsubj
frightfully	negative	strongsubj
frivolous	negative	strongsubj
frolic	positive	strongsubj
frown	negative	strongsubj
fruitless	negative	strongsubj
fruitlessly	negative	strongsubj
fun	negative	strongsubj
frustrate	negative	strongsubj
frustrated	negative	strongsubj
frustrating	negative	strongsubj
frustratingly	negative	strongsubj
frustration	negative	strongsubj
fudge	negative	strongsubj
fulminate	negative	strongsubj
fume	negative	strongsubj
fun	positive	strongsubj
fundamental	neutral	strongsubj
fundamentally	neutral	strongsubj
funny	positive	strongsubj
furious	negative	strongsubj
furiously	negative	strongsubj
furor	negative	strongsubj
furthermore	neutral	strongsubj
fury	negative	strongsubj
fuss	negative	strongsubj
fustigate	negative	strongsubj
fussy	negative	strongsubj
fusty	negative	strongsubj
futile	negative	strongsubj
futilely	negative	strongsubj
futility	negative	strongsubj
gabble	negative	strongsubj
gaff	negative	strongsubj
gaffe	negative	strongsubj
gaiety	positive	strongsubj
gaily	positive	strongsubj
gainful	positive	strongsubj
gainfully	positive	strongsubj
gainsay	negative	strongsubj
gainsayer	negative	strongsubj
gaga	negative	strongsubj
gaggle	negative	strongsubj
gall	negative	strongsubj
gallant	positive	strongsubj
gallantly	positive	strongsubj
galling	negative	strongsubj
gallingly	negative	strongsubj
galore	positive	strongsubj
gape	negative	strongsubj
garish	negative	strongsubj
gasp	negative	strongsubj
gauche	negative	strongsubj
gaudy	negative	strongsubj
gawk	negative	strongsubj
gawky	negative	strongsubj
geezer	negative	strongsubj
generosity	positive	strongsubj
generous	positive	strongsubj
generously	positive	strongsubj
genius	positive	strongsubj
genocide	negative	strongsubj
get-rich	negative	strongsubj
ghastly	negative	strongsubj
gibber	negative	strongsubj
gibberish	negative	strongsubj
gibe	negative	strongsubj
giddy	positive	strongsubj
gifted	positive	strongsubj
glad	positive	strongsubj
gladden	positive	strongsubj
gladly	positive	strongsubj
gladness	positive	strongsubj
glamorous	positive	strongsubj
glare	negative	strongsubj
glaring	negative	strongsubj
glaringly	negative	strongsubj
glean	neutral	strongsubj
glee	positive	strongsubj
gleeful	positive	strongsubj
gleefully	positive	strongsubj
glib	negative	strongsubj
glibly	negative	strongsubj
glimmer	positive	strongsubj
glimmering	positive	strongsubj
glisten	positive	strongsubj
glistening	positive	strongsubj
glitter	positive	strongsubj
gloat	both	strongsubj
gloatingly	negative	strongsubj
gloom	negative	strongsubj
gloomy	negative	strongsubj
glorify	positive	strongsubj
glorious	positive	strongsubj
gloriously	positive	strongsubj
glory	positive	strongsubj
gloss	negative	strongsubj
glossy	positive	strongsubj
glow	positive	strongsubj
glower	negative	strongsubj
glowing	positive	strongsubj
glowingly	positive	strongsubj
glum	negative	strongsubj
goad	negative	strongsubj
goading	negative	strongsubj
god-awful	negative	strongsubj
god-given	positive	strongsubj
goddam	negative	strongsubj
goddamn	negative	strongsubj
godlike	positive	strongsubj
goodness	positive	strongsubj
goodwill	positive	strongsubj
goof	negative	strongsubj
gorgeous	positive	strongsubj
gorgeously	positive	strongsubj
gossip	negative	strongsubj
grace	positive	strongsubj
graceful	positive	strongsubj
gracefully	positive	strongsubj
graceless	negative	strongsubj
gracelessly	negative	strongsubj
gracious	positive	strongsubj
graciously	positive	strongsubj
graciousness	positive	strongsubj
grandeur	positive	strongsubj
grandiose	negative	strongsubj
grate	negative	strongsubj
grateful	positive	strongsubj
gratefully	positive	strongsubj
gratification	positive	strongsubj
gratify	positive	strongsubj
gratifying	positive	strongsubj
gratifyingly	positive	strongsubj
grating	negative	strongsubj
gratitude	positive	strongsubj
gratuitous	negative	strongsubj
gratuitously	negative	strongsubj
grave	negative	strongsubj
gravely	negative	strongsubj
great	positive	strongsubj
greatest	positive	strongsubj
greatly	neutral	strongsubj
greatness	positive	strongsubj
greed	negative	strongsubj
greedy	negative	strongsubj
greet	positive	strongsubj
grief	negative	strongsubj
grievance	negative	strongsubj
grievances	negative	strongsubj
grieve	negative	strongsubj
grieving	negative	strongsubj
grievous	negative	strongsubj
grievously	negative	strongsubj
grim	negative	strongsubj
grimace	negative	strongsubj
grin	positive	strongsubj
grind	negative	strongsubj
gripe	negative	strongsubj
grisly	negative	strongsubj
grit	positive	strongsubj
grossly	negative	strongsubj
grotesque	negative	strongsubj
grouch	negative	strongsubj
grouchy	negative	strongsubj
groundbreaking	positive	strongsubj
groundless	negative	strongsubj
grouse	negative	strongsubj
growl	negative	strongsubj
grudge	negative	strongsubj
grudges	negative	strongsubj
grudging	negative	strongsubj
grudgingly	negative	strongsubj
gruesome	negative	strongsubj
gruesomely	negative	strongsubj
gruff	negative	strongsubj
grumble	negative	strongsubj
guile	negative	strongsubj
guilt	negative	strongsubj
guiltless	positive	strongsubj
guiltily	negative	strongsubj
gullible	negative	strongsubj
gumption	positive	strongsubj
gusto	positive	strongsubj
gutsy	positive	strongsubj
haggard	negative	strongsubj
haggle	negative	strongsubj
hail	positive	strongsubj
halcyon	positive	strongsubj
hale	positive	strongsubj
halfhearted	negative	strongsubj
halfheartedly	negative	strongsubj
hallowed	positive	strongsubj
hallucinate	negative	strongsubj
hallucination	negative	strongsubj
hamper	negative	strongsubj
hamstring	negative	strongsubj
hamstrung	negative	strongsubj
handily	positive	strongsubj
handsome	positive	strongsubj
handy	positive	strongsubj
hanker	positive	strongsubj
hapless	negative	strongsubj
happily	positive	strongsubj
happiness	positive	strongsubj
happy	positive	strongsubj
harangue	negative	strongsubj
harassment	negative	strongsubj
hard-line	negative	strongsubj
hard-liner	negative	strongsubj
hardball	negative	strongsubj
hardheaded	negative	strongsubj
hardhearted	negative	strongsubj
hardier	positive	strongsubj
hardly	negative	strongsubj
hardship	negative	strongsubj
hardships	negative	strongsubj
harm	negative	strongsubj
harmful	negative	strongsubj
harmless	positive	strongsubj
harmonious	positive	strongsubj
harmoniously	positive	strongsubj
harmonize	positive	strongsubj
harmony	positive	strongsubj
harms	negative	strongsubj
harpy	negative	strongsubj
harridan	negative	strongsubj
harried	negative	strongsubj
harrow	negative	strongsubj
harsh	negative	strongsubj
harshly	negative	strongsubj
hassle	negative	strongsubj
haste	negative	strongsubj
hasty	negative	strongsubj
hate	negative	strongsubj
hater	negative	strongsubj
hateful	negative	strongsubj
hatefully	negative	strongsubj
hatefulness	negative	strongsubj
haughtily	negative	strongsubj
haughty	negative	strongsubj
hatred	negative	strongsubj
haunting	negative	strongsubj
haven	positive	strongsubj
havoc	negative	strongsubj
hawkish	negative	strongsubj
heady	positive	strongsubj
healthful	positive	strongsubj
heartbreak	negative	strongsubj
heartbreaker	negative	strongsubj
heartbreaking	negative	strongsubj
heartbreakingly	negative	strongsubj
hearten	positive	strongsubj
heartening	positive	strongsubj
heartfelt	positive	strongsubj
heartily	positive	strongsubj
heartless	negative	strongsubj
heartrending	negative	strongsubj
heartwarming	positive	strongsubj
heathen	negative	strongsubj
heavenly	positive	strongsubj
heavily	negative	strongsubj
heavy-handed	negative	strongsubj
heavyhearted	negative	strongsubj
heck	negative	strongsubj
heckle	negative	strongsubj
hedge	negative	strongsubj
hedonistic	negative	strongsubj
heedless	negative	strongsubj
hegemonistic	negative	strongsubj
hegemony	negative	strongsubj
heinous	negative	strongsubj
hell	negative	strongsubj
hell-bent	negative	strongsubj
