term	valence	score	POS
lax	positive	0.125	a
lax	negative	-0.5	a
sagging	negative	-0.5	a
droopy	negative	-0.5	a
drooping	negative	-0.5	a
limp	positive	0.125	a
limp	negative	-0.5	a
slack	negative	-0.625	a
loose	negative	-0.625	a
loose-jointed	positive	0.375	a
tensionless	positive	0.5	a
tensionless	negative	-0.25	a
suspensive	negative	-0.5	a
suspenseful	negative	-0.5	a
nail-biting	negative	-0.5	a
cliff-hanging	negative	-0.5	a
taut	negative	-0.25	a
itchy	negative	-0.625	a
fretful	negative	-0.625	a
fidgety	negative	-0.625	a
antsy	negative	-0.625	a
nervous	positive	0.125	a
strained	positive	0.25	a
unrelaxed	negative	-0.375	a
wired	negative	-0.375	a
pumped up	negative	-0.375	a
pumped-up	negative	-0.375	a
pumped	negative	-0.375	a
relaxed	negative	-0.625	a
degage	positive	0.625	a
mellow	positive	0.125	a
mellow	negative	-0.5	a
laid-back	positive	0.125	a
laid-back	negative	-0.5	a
unstrained	positive	0.25	a
unstrained	negative	-0.125	a
hypotonic	negative	-0.5	a
territorial	positive	0.375	a
nonterritorial	negative	-0.125	a
four-ply	positive	0.25	a
quilted	positive	0.125	a
three-ply	positive	0.25	a
two-ply	positive	0.25	a
flat	positive	0.125	a
compressed	positive	0.125	a
depressed	positive	0.125	a
thready	positive	0.125	a
threadlike	positive	0.125	a
filiform	positive	0.125	a
filamentous	positive	0.125	a
filamentlike	positive	0.125	a
fine	positive	0.125	a
light	positive	0.25	a
hyperfine	positive	0.5	a
papery	positive	0.125	a
ribbony	positive	0.125	a
ribbonlike	positive	0.125	a
tenuous	positive	0.125	a
wafer-thin	positive	0.125	a
coagulable	positive	0.5	a
viscous	positive	0.25	a
syrupy	positive	0.25	a
thin	negative	-0.125	a
rarified	positive	0.25	a
rarified	negative	-0.5	a
rarefied	positive	0.25	a
rarefied	negative	-0.5	a
rare	positive	0.25	a
rare	negative	-0.5	a
thinkable	positive	0.5	a
imaginable	negative	-0.125	a
conceivable	negative	-0.125	a
surmisable	positive	0.125	a
supposable	positive	0.125	a
presumable	positive	0.125	a
unthinkable	negative	-0.625	a
unimaginable	positive	0.5	a
unimaginable	negative	-0.375	a
out of the question	positive	0.5	a
out of the question	negative	-0.375	a
inconceivable	positive	0.5	a
inconceivable	negative	-0.375	a
impossible	positive	0.5	a
impossible	negative	-0.375	a
thoughtful	positive	0.625	a
preoccupied	positive	0.125	a
lost	positive	0.125	a
deep in thought	positive	0.125	a
bemused	positive	0.125	a
ruminative	positive	0.25	a
reflective	positive	0.25	a
pondering	positive	0.25	a
pensive	positive	0.25	a
musing	positive	0.25	a
meditative	positive	0.25	a
contemplative	positive	0.25	a
broody	positive	0.25	a
brooding	positive	0.25	a
cogitative	positive	0.125	a
well thought out	positive	0.375	a
well thought out	negative	-0.125	a
deliberative	positive	0.375	a
deliberative	negative	-0.125	a
excogitative	positive	0.25	a
thoughtless	positive	0.625	a
unconsidered	positive	0.375	a
unconsidered	negative	-0.375	a
inconsiderate	positive	0.375	a
inconsiderate	negative	-0.375	a
unthoughtful	negative	-0.75	a
unthinking	negative	-0.75	a
unreflective	negative	-0.75	a
thrifty	positive	0.5	a
stinting	negative	-0.25	a
sparing	negative	-0.25	a
scotch	negative	-0.25	a
frugal	negative	-0.25	a
economical	negative	-0.25	a
penny-wise	positive	0.25	a
penny-wise	negative	-0.125	a
saving	positive	0.375	a
saving	negative	-0.25	a
wasteful	positive	0.125	a
wasteful	negative	-0.375	a
spendthrift	negative	-0.125	a
profligate	negative	-0.125	a
prodigal	negative	-0.125	a
extravagant	negative	-0.125	a
pound-foolish	negative	-0.125	a
uneconomical	negative	-0.375	a
uneconomic	negative	-0.375	a
tidy	positive	0.625	a
trim	positive	0.5	a
trig	positive	0.5	a
clean-cut	positive	0.5	a
orderly	positive	0.5	a
orderly	negative	-0.375	a
neat	positive	0.5	a
neat	negative	-0.375	a
neat	positive	0.5	a
ruly	positive	0.625	a
ruly	negative	-0.25	a
well-kept	positive	0.25	a
well-kept	negative	-0.5	a
trim	positive	0.25	a
trim	negative	-0.5	a
shipshape	positive	0.25	a
shipshape	negative	-0.5	a
slicked up	positive	0.375	a
straight	positive	0.25	a
straight	negative	-0.25	a
unlittered	negative	-0.5	a
uncluttered	negative	-0.5	a
untidy	positive	0.125	a
untidy	negative	-0.625	a
littered	negative	-0.5	a
cluttered	negative	-0.5	a
tousled	positive	0.125	a
tousled	negative	-0.75	a
rumpled	positive	0.125	a
rumpled	negative	-0.75	a
frowzled	positive	0.125	a
frowzled	negative	-0.75	a
dishevelled	positive	0.125	a
dishevelled	negative	-0.75	a
disheveled	positive	0.125	a
disheveled	negative	-0.75	a
topsy-turvy	positive	0.375	a
topsy-turvy	negative	-0.5	a
jumbled	positive	0.375	a
jumbled	negative	-0.5	a
hugger-mugger	positive	0.375	a
hugger-mugger	negative	-0.5	a
higgledy-piggledy	positive	0.375	a
higgledy-piggledy	negative	-0.5	a
disorderly	positive	0.375	a
disorderly	negative	-0.5	a
slovenly	negative	-0.5	a
frowzy	negative	-0.5	a
frowsy	negative	-0.5	a
mussy	negative	-0.875	a
messy	negative	-0.875	a
scraggly	negative	-0.25	a
sloppy	negative	-0.25	a
slouchy	negative	-0.375	a
straggly	negative	-0.125	a
straggling	negative	-0.125	a
sprawling	negative	-0.125	a
rambling	negative	-0.125	a
unkempt	negative	-0.75	a
groomed	positive	0.625	a
brushed	positive	0.125	a
tidy	positive	0.375	a
kempt	positive	0.375	a
pomaded	positive	0.125	a
sleek	positive	0.375	a
well-groomed	positive	0.125	a
well-groomed	negative	-0.75	a
well-groomed	positive	0.25	a
well-dressed	positive	0.25	a
ungroomed	positive	0.125	a
ungroomed	negative	-0.75	a
shaggy-haired	positive	0.125	a
shaggy-coated	positive	0.125	a
shaggy	positive	0.125	a
bushy	positive	0.125	a
ill-dressed	negative	-0.25	a
unbrushed	negative	-0.25	a
combed	positive	0.375	a
uncombable	negative	-0.625	a
unkempt	negative	-0.125	a
timber-framed	negative	-0.125	a
untimbered	positive	0.125	a
untimbered	negative	-0.25	a
toned	positive	0.25	a
toneless	positive	0.125	a
toneless	negative	-0.25	a
tongued	negative	-0.375	a
tongueless	positive	0.125	a
tongueless	negative	-0.375	a
tipped	negative	-0.125	a
pink-tipped	negative	-0.625	a
plume-tipped	negative	-0.625	a
spine-tipped	negative	-0.625	a
thorn-tipped	negative	-0.625	a
yellow-tipped	negative	-0.625	a
untipped	negative	-0.625	a
tired	positive	0.25	a
weary	positive	0.5	a
weary	negative	-0.125	a
aweary	positive	0.5	a
aweary	negative	-0.125	a
worn	negative	-0.625	a
raddled	negative	-0.625	a
haggard	negative	-0.625	a
drawn	negative	-0.625	a
careworn	negative	-0.625	a
flagging	positive	0.125	a
flagging	negative	-0.75	a
drooping	positive	0.125	a
drooping	negative	-0.75	a
worn out	positive	0.375	a
worn out	negative	-0.25	a
worn-out	positive	0.375	a
worn-out	negative	-0.25	a
washed-out	positive	0.375	a
washed-out	negative	-0.25	a
spent	positive	0.375	a
spent	negative	-0.25	a
played out	positive	0.375	a
played out	negative	-0.25	a
fatigued	positive	0.375	a
fatigued	negative	-0.25	a
fagged	positive	0.375	a
fagged	negative	-0.25	a
exhausted	positive	0.375	a
exhausted	negative	-0.25	a
dog-tired	positive	0.375	a
dog-tired	negative	-0.25	a
footsore	negative	-0.125	a
wearied	positive	0.375	a
wearied	negative	-0.375	a
jaded	positive	0.375	a
jaded	negative	-0.375	a
whacked	negative	-0.125	a
rested	positive	0.25	a
reinvigorated	positive	0.25	a
refreshed	positive	0.25	a
invigorated	positive	0.25	a
fresh	positive	0.25	a
unweary	positive	0.25	a
unweary	negative	-0.125	a
unwearied	positive	0.25	a
unwearied	negative	-0.125	a
untired	positive	0.25	a
untired	negative	-0.125	a
tolerable	positive	0.125	a
supportable	positive	0.125	a
supportable	negative	-0.75	a
sufferable	positive	0.125	a
sufferable	negative	-0.75	a
endurable	positive	0.125	a
endurable	negative	-0.75	a
bearable	positive	0.125	a
bearable	negative	-0.75	a
tolerant	positive	0.125	a
tolerant	negative	-0.625	a
resistant	positive	0.125	a
resistant	negative	-0.625	a
unendurable	negative	-0.625	a
unbearable	negative	-0.625	a
intolerable	negative	-0.625	a
bitter	negative	-0.5	a
unsufferable	positive	0.375	a
unacceptable	positive	0.375	a
insufferable	positive	0.375	a
impossible	positive	0.375	a
unsupportable	negative	-0.625	a
tolerant	positive	0.5	a
unbigoted	negative	-0.375	a
intolerant	positive	0.125	a
intolerant	negative	-0.75	a
bigoted	negative	-0.5	a
strict	positive	0.125	a
strict	negative	-0.5	a
rigid	positive	0.125	a
rigid	negative	-0.5	a
toned	positive	0.375	a
toned	negative	-0.125	a
unkeyed	negative	-0.375	a
atonal	negative	-0.375	a
gap-toothed	negative	-0.125	a
toothlike	positive	0.25	a
toothlike	negative	-0.25	a
toothy	positive	0.5	a
toothless	positive	0.25	a
toothless	negative	-0.25	a
edentulous	negative	-0.25	a
crowning	positive	0.125	a
upper	positive	0.125	a
nethermost	positive	0.375	a
nethermost	negative	-0.125	a
lowermost	positive	0.375	a
lowermost	negative	-0.125	a
bottommost	positive	0.375	a
bottommost	negative	-0.125	a
inferior	negative	-0.125	a
nether	negative	-0.25	a
broadside	positive	0.125	a
broadside	negative	-0.125	a
sidelong	positive	0.125	a
lateral	positive	0.125	a
topless	positive	0.125	a
bottomed	negative	-0.25	a
round-bottomed	positive	0.125	a
round-bottom	positive	0.125	a
top-down	positive	0.125	a
bottom-up	positive	0.125	a
equatorial	negative	-0.125	a
testate	positive	0.375	a
intestate	negative	-0.75	a
untouched	negative	-0.625	a
tough	negative	-0.5	a
rubbery	negative	-0.75	a
gristly	negative	-0.75	a
cartilaginous	negative	-0.75	a
chewy	positive	0.125	a
chewy	negative	-0.375	a
unchewable	negative	-0.5	a
stringy	negative	-0.5	a
sinewy	negative	-0.5	a
fibrous	negative	-0.5	a
tender	negative	-0.25	a
cuttable	positive	0.125	a
cuttable	negative	-0.125	a
chewable	positive	0.125	a
chewable	negative	-0.125	a
flaky	positive	0.125	a
flakey	positive	0.125	a
toughened	positive	0.375	a
toughened	negative	-0.25	a
tough	positive	0.375	a
tough	negative	-0.25	a
thickened	negative	-0.125	a
calloused	negative	-0.125	a
callous	negative	-0.125	a
inured	positive	0.25	a
hardened	positive	0.25	a
enured	positive	0.25	a
weather-beaten	positive	0.125	a
untoughened	positive	0.125	a
untoughened	negative	-0.75	a
tender	positive	0.125	a
tender	negative	-0.75	a
soft	positive	0.125	a
soft	negative	-0.25	a
delicate	positive	0.125	a
delicate	negative	-0.25	a
tough	negative	-0.75	a
pugnacious	positive	0.125	a
pugnacious	negative	-0.5	a
hard-boiled	positive	0.125	a
hard-boiled	negative	-0.5	a
hard-bitten	positive	0.125	a
hard-bitten	negative	-0.5	a
unsentimental	positive	0.125	a
unsentimental	negative	-0.25	a
tough-minded	positive	0.125	a
tough-minded	negative	-0.25	a
tender	positive	0.5	a
protective	negative	-0.375	a
sentimental	positive	0.625	a
sentimental	negative	-0.125	a
toxic	negative	-0.25	a
cyanogenic	positive	0.625	a
cyanogenetic	positive	0.625	a
virulent	negative	-0.75	a
venomous	negative	-0.75	a
deadly	negative	-0.75	a
hepatotoxic	negative	-0.5	a
nephrotoxic	negative	-0.5	a
toxicant	positive	0.375	a
toxicant	negative	-0.5	a
poisonous	positive	0.375	a
poisonous	negative	-0.5	a
nontoxic	negative	-0.625	a
atoxic	negative	-0.625	a
antitoxic	positive	0.125	a
antitoxic	negative	-0.25	a
nonpoisonous	positive	0.125	a
nonpoisonous	negative	-0.25	a
non-poisonous	positive	0.125	a
non-poisonous	negative	-0.25	a
nonvenomous	positive	0.125	a
nonvenomous	negative	-0.25	a
tractable	positive	0.5	a
manipulable	positive	0.5	a
malleable	positive	0.5	a
ductile	positive	0.5	a
teachable	positive	0.5	a
docile	positive	0.5	a
tameable	positive	0.625	a
tamable	positive	0.625	a
intractable	negative	-0.75	a
balky	negative	-0.375	a
balking	negative	-0.375	a
stubborn	negative	-0.75	a
refractory	negative	-0.75	a
unmanageable	negative	-0.875	a
uncontrollable	negative	-0.875	a
unmalleable	negative	-0.75	a
trackable	positive	0.5	a
traceable	positive	0.5	a
untraceable	negative	-0.625	a
untravelled	negative	-0.625	a
untraveled	negative	-0.625	a
untraversed	negative	-0.625	a
trimmed	positive	0.375	a
cut	positive	0.375	a
clipped	positive	0.125	a
untrimmed	negative	-0.125	a
uncut	negative	-0.125	a
unclipped	negative	-0.125	a
troubled	negative	-0.875	a
vexed	negative	-0.5	a
pestered	negative	-0.5	a
harried	negative	-0.5	a
harassed	negative	-0.5	a
annoyed	negative	-0.5	a
unquiet	positive	0.125	a
unquiet	negative	-0.625	a
uneasy	positive	0.125	a
uneasy	negative	-0.625	a
queasy	positive	0.125	a
queasy	negative	-0.625	a
nervous	positive	0.125	a
nervous	negative	-0.625	a
anxious	positive	0.125	a
anxious	negative	-0.625	a
tempest-tost	negative	-0.125	a
tempest-tossed	negative	-0.125	a
tempest-swept	negative	-0.125	a
storm-tossed	negative	-0.125	a
buffeted	negative	-0.125	a
careful	positive	0.125	a
careful	negative	-0.25	a
heavy-laden	negative	-0.125	a
care-laden	negative	-0.125	a
clouded	negative	-0.5	a
worried	negative	-0.875	a
upset	negative	-0.875	a
disturbed	negative	-0.875	a
distressed	negative	-0.875	a
disquieted	negative	-0.875	a
in a bad way	negative	-0.625	a
hard put	negative	-0.625	a
hard-pressed	negative	-0.625	a
distressed	negative	-0.625	a
fraught	negative	-0.75	a
tormented	positive	0.375	a
tormented	negative	-0.25	a
hagridden	positive	0.375	a
hagridden	negative	-0.25	a
hag-ridden	positive	0.375	a
hag-ridden	negative	-0.25	a
haunted	positive	0.5	a
haunted	negative	-0.375	a
mothy	negative	-0.625	a
stressed	positive	0.125	a
stressed	negative	-0.75	a
distressed	positive	0.125	a
distressed	negative	-0.75	a
struggling	negative	-0.25	a
suffering	negative	-0.5	a
troublous	negative	-0.625	a
untroubled	negative	-0.625	a
unworried	positive	0.5	a
unworried	negative	-0.375	a
carefree	positive	0.5	a
carefree	negative	-0.375	a
clear	positive	0.125	a
clear	negative	-0.625	a
dreamless	negative	-0.375	a
trouble-free	negative	-0.625	a
unconcerned	positive	0.5	a
unconcerned	negative	-0.125	a
undisturbed	negative	-0.375	a
unmolested	negative	-0.375	a
true	positive	0.5	a
true	negative	-0.375	a
real	positive	0.25	a
literal	positive	0.25	a
genuine	positive	0.25	a
actual	positive	0.25	a
apodictic	positive	0.25	a
apodictic	negative	-0.125	a
apodeictic	positive	0.25	a
apodeictic	negative	-0.125	a
truthful	positive	0.625	a
truthful	negative	-0.125	a
sure	positive	0.444	a
sure	negative	-0.556	a
false	negative	-0.75	a
mendacious	negative	-0.75	a
spurious	positive	0.125	a
spurious	negative	-0.75	a
specious	positive	0.125	a
specious	negative	-0.75	a
trumped-up	negative	-0.625	a
untrue	negative	-0.75	a
trusting	positive	0.625	a
trusting	negative	-0.125	a
trustful	positive	0.625	a
trustful	negative	-0.125	a
confiding	positive	0.625	a
unsuspicious	positive	0.125	a
unsuspicious	negative	-0.5	a
unsuspecting	positive	0.125	a
unsuspecting	negative	-0.5	a
distrustful	positive	0.5	a
distrustful	negative	-0.125	a
misanthropical	negative	-0.625	a
misanthropic	negative	-0.625	a
cynical	negative	-0.625	a
skeptical	positive	0.375	a
skeptical	negative	-0.125	a
sceptical	positive	0.375	a
sceptical	negative	-0.125	a
questioning	positive	0.375	a
questioning	negative	-0.125	a
doubting	positive	0.375	a
doubting	negative	-0.125	a
overjealous	negative	-0.25	a
jealous	negative	-0.25	a
green-eyed	negative	-0.25	a
wary	negative	-0.625	a
untrusting	negative	-0.625	a
suspicious	negative	-0.625	a
mistrustful	negative	-0.625	a
leery	negative	-0.625	a
oversuspicious	negative	-0.375	a
trusty	positive	0.5	a
trustworthy	positive	0.5	a
reliable	positive	0.625	a
authentic	positive	0.625	a
responsible	positive	0.125	a
creditworthy	positive	0.125	a
true	positive	0.5	a
reliable	positive	0.5	a
honest	positive	0.5	a
dependable	positive	0.5	a
fiducial	positive	0.375	a
fiducial	negative	-0.25	a
trusted	positive	0.5	a
sure	positive	0.5	a
untrusty	negative	-0.75	a
untrustworthy	negative	-0.75	a
shifty	positive	0.25	a
shifty	negative	-0.75	a
devious	positive	0.25	a
devious	negative	-0.75	a
tricky	negative	-0.75	a
slippery	negative	-0.75	a
tubeless	negative	-0.125	a
untucked	negative	-0.5	a
unturned	negative	-0.125	a
typical	positive	0.125	a
typic	positive	0.125	a
exemplary	positive	0.125	a
emblematic	positive	0.125	a
veritable	positive	0.375	a
regular	positive	0.375	a
true	positive	0.5	a
true	negative	-0.125	a
untypical	negative	-0.75	a
atypical	negative	-0.75	a
unrepresentative	negative	-0.625	a
submersible	positive	0.25	a
submergible	positive	0.25	a
nonsubmersible	negative	-0.625	a
nonsubmergible	negative	-0.625	a
tearful	negative	-0.5	a
swimming	negative	-0.375	a
liquid	negative	-0.375	a
watery-eyed	positive	0.125	a
watery-eyed	negative	-0.375	a
teary-eyed	positive	0.125	a
teary-eyed	negative	-0.375	a
teary	positive	0.125	a
teary	negative	-0.375	a
snuffly	negative	-0.625	a
snuffling	negative	-0.625	a
sniffly	negative	-0.625	a
weepy	positive	0.125	a
weepy	negative	-0.5	a
tearless	positive	0.375	a
tearless	negative	-0.125	a
dry-eyed	positive	0.375	a
dry-eyed	negative	-0.125	a
dry	negative	-0.125	a
closed	negative	-0.25	a
nonunion	negative	-0.625	a
unorganized	negative	-0.75	a
unorganised	negative	-0.75	a
nonunionized	negative	-0.75	a
nonunionised	negative	-0.75	a
uniparous	positive	0.25	a
multiparous	positive	0.125	a
twinning	positive	0.125	a
biparous	positive	0.125	a
bipolar	positive	0.125	a
janus-faced	positive	0.125	a
united	positive	0.25	a
united	negative	-0.25	a
coalescing	negative	-0.125	a
coalescent	negative	-0.125	a
cohesive	positive	0.25	a
cohesive	negative	-0.25	a
tied	positive	0.25	a
undivided	negative	-0.875	a
unpartitioned	negative	-0.375	a
bifid	positive	0.125	a
tined	negative	-0.25	a
pronged	negative	-0.25	a
torn	negative	-0.5	a
trifid	positive	0.125	a
two-pronged	positive	0.375	a
bivalved	negative	-0.125	a
bivalve	negative	-0.125	a
ascensive	positive	0.125	a
ascensive	negative	-0.375	a
ascendent	positive	0.125	a
ascendent	negative	-0.375	a
ascendant	positive	0.125	a
ascendant	negative	-0.375	a
falling	positive	0.25	a
dropping	positive	0.25	a
raining	negative	-0.25	a
rising	positive	0.125	a
rising	negative	-0.125	a
up	positive	0.75	a
improving	positive	0.75	a
falling	positive	0.125	a
falling	negative	-0.375	a
down	negative	-0.25	a
soft	negative	-0.25	a
climactic	negative	-0.375	a
anticlimactic	positive	0.125	a
upmarket	positive	0.375	a
upscale	positive	0.5	a
downmarket	negative	-0.375	a
intransitive	negative	-0.5	a
translatable	positive	0.125	a
untranslatable	negative	-0.5	a
ungulated	positive	0.125	a
ungulated	negative	-0.125	a
ungulate	positive	0.125	a
ungulate	negative	-0.125	a
hooved	positive	0.125	a
hooved	negative	-0.125	a
hoofed	positive	0.125	a
hoofed	negative	-0.125	a
solid-hoofed	positive	0.125	a
unguiculated	negative	-0.125	a
unguiculate	negative	-0.125	a
clawlike	positive	0.25	a
clawlike	negative	-0.25	a
upbound	positive	0.25	a
downbound	positive	0.25	a
set	negative	-0.125	a
weak	positive	0.125	a
weak	negative	-0.375	a
misused	negative	-0.25	a
abused	positive	0.375	a
abused	negative	-0.125	a
victimized	positive	0.375	a
victimised	positive	0.375	a
used	positive	0.375	a
put-upon	positive	0.375	a
ill-used	positive	0.375	a
exploited	positive	0.375	a
reusable	positive	0.625	a
recyclable	positive	0.625	a
reclaimable	positive	0.625	a
serviceable	positive	0.75	a
utilitarian	positive	0.125	a
utilizable	positive	0.5	a
useless	positive	0.125	a
useless	negative	-0.625	a
unavailing	negative	-0.5	a
otiose	negative	-0.5	a
ineffectual	negative	-0.5	a
futile	negative	-0.5	a
inutile	negative	-0.5	a
unuseable	negative	-0.625	a
unusable	negative	-0.625	a
unserviceable	negative	-0.625	a
utopian	positive	0.375	a
utopian	negative	-0.5	a
windy	positive	0.25	a
windy	negative	-0.625	a
visionary	positive	0.25	a
visionary	negative	-0.625	a
laputan	positive	0.25	a
laputan	negative	-0.625	a
impractical	positive	0.25	a
impractical	negative	-0.625	a
airy	positive	0.25	a
airy	negative	-0.625	a
dystopian	negative	-0.75	a
valid	positive	0.125	a
binding	positive	0.25	a
binding	negative	-0.25	a
sound	positive	0.25	a
legal	positive	0.25	a
effectual	positive	0.25	a
validated	positive	0.375	a
invalid	negative	-0.75	a
uncollectible	negative	-0.75	a
bad	negative	-0.75	a
unsound	positive	0.125	a
unsound	negative	-0.625	a
fallacious	positive	0.125	a
fallacious	negative	-0.625	a
false	negative	-0.75	a
nullified	negative	-0.25	a
invalidated	negative	-0.25	a
void	negative	-0.5	a
null	negative	-0.5	a
sophistical	positive	0.222	a
sophistical	negative	-0.778	a
sophistic	positive	0.222	a
sophistic	negative	-0.778	a
blue-chip	positive	0.375	a
blue-chip	negative	-0.25	a
priceless	positive	0.25	a
priceless	negative	-0.125	a
invaluable	positive	0.25	a
invaluable	negative	-0.125	a
precious	positive	0.5	a
rich	positive	0.5	a
worthless	negative	-0.5	a
chaffy	positive	0.125	a
sorry	positive	0.5	a
no-good	positive	0.5	a
no-count	positive	0.5	a
no-account	positive	0.5	a
meritless	positive	0.5	a
good-for-nothing	positive	0.5	a
good-for-naught	positive	0.5	a
manky	positive	0.3	a
manky	negative	-0.7	a
trifling	positive	0.125	a
trifling	negative	-0.5	a
paltry	positive	0.125	a
paltry	negative	-0.5	a
negligible	positive	0.125	a
negligible	negative	-0.5	a
nugatory	positive	0.25	a
wasted	negative	-0.625	a
superfluous	negative	-0.625	a
senseless	negative	-0.625	a
purposeless	negative	-0.625	a
pointless	negative	-0.625	a
otiose	negative	-0.625	a
trashy	negative	-0.875	a
rubbishy	negative	-0.875	a
tinpot	negative	-0.5	a
valueless	positive	0.125	a
variable	positive	0.5	a
variable	negative	-0.125	a
covariant	positive	0.125	a
covariant	negative	-0.5	a
shifting	negative	-0.125	a
variant	positive	0.125	a
variant	negative	-0.5	a
versatile	positive	0.625	a
invariable	negative	-0.625	a
unvarying	positive	0.375	a
invariant	positive	0.375	a
constant	positive	0.375	a
changeless	positive	0.375	a
strict	positive	0.25	a
hard-and-fast	positive	0.25	a
invariant	positive	0.125	a
varied	positive	0.125	a
varied	negative	-0.375	a
multifarious	positive	0.25	a
multifaceted	positive	0.25	a
miscellaneous	positive	0.25	a
many-sided	positive	0.25	a
varying	positive	0.25	a
varying	negative	-0.5	a
variable	positive	0.25	a
variable	negative	-0.5	a
versatile	positive	0.25	a
versatile	negative	-0.25	a
various	positive	0.25	a
various	negative	-0.25	a
unvarying	positive	0.125	a
unvarying	negative	-0.25	a
unvaried	positive	0.125	a
unvaried	negative	-0.25	a
disclosed	positive	0.25	a
airy	negative	-0.125	a
aired	negative	-0.125	a
louvered	negative	-0.5	a
unventilated	negative	-0.25	a
unaired	positive	0.125	a
unaired	negative	-0.25	a
stuffy	positive	0.125	a
stuffy	negative	-0.25	a
close	positive	0.125	a
close	negative	-0.25	a
airless	positive	0.125	a
airless	negative	-0.25	a
fuggy	negative	-0.5	a
unoxygenated	negative	-0.5	a
unaerated	negative	-0.5	a
unvented	negative	-0.625	a
spineless	negative	-0.25	a
invertebrate	negative	-0.25	a
violable	negative	-0.125	a
inviolable	positive	0.125	a
inviolable	negative	-0.375	a
untouchable	negative	-0.75	a
unassailable	negative	-0.75	a
violent	positive	0.25	a
violent	negative	-0.125	a
convulsive	negative	-0.625	a
savage	positive	0.25	a
savage	negative	-0.25	a
furious	positive	0.25	a
furious	negative	-0.25	a
fierce	positive	0.25	a
fierce	negative	-0.25	a
ferocious	positive	0.25	a
ferocious	negative	-0.25	a
raging	positive	0.125	a
raging	negative	-0.375	a
hot	positive	0.125	a
hot	negative	-0.375	a
knockdown-dragout	positive	0.25	a
knockdown-dragout	negative	-0.5	a
knock-down-and-drag-out	positive	0.25	a
knock-down-and-drag-out	negative	-0.5	a
lashing	negative	-0.375	a
lurid	negative	-0.5	a
rampageous	negative	-0.625	a
tough	negative	-0.625	a
ruffianly	negative	-0.625	a
slam-bang	positive	0.125	a
slam-bang	negative	-0.5	a
nonviolent	negative	-0.375	a
peaceful	positive	0.25	a
passive	positive	0.25	a
virtuous	positive	0.875	a
impeccable	positive	0.125	a
impeccable	negative	-0.625	a
sinless	positive	0.625	a
sinless	negative	-0.125	a
innocent	positive	0.625	a
innocent	negative	-0.125	a
impeccant	positive	0.625	a
impeccant	negative	-0.125	a
wicked	positive	0.25	a
wicked	negative	-0.625	a
vicious	negative	-0.5	a
evil	negative	-0.5	a
heinous	positive	0.222	a
heinous	negative	-0.778	a
flagitious	positive	0.222	a
flagitious	negative	-0.778	a
ungodly	negative	-0.75	a
sinful	negative	-0.75	a
iniquitous	negative	-0.75	a
unreformable	negative	-0.75	a
unredeemable	negative	-0.75	a
irredeemable	negative	-0.75	a
irreclaimable	negative	-0.75	a
villainous	positive	0.222	a
villainous	negative	-0.778	a
nefarious	positive	0.222	a
nefarious	negative	-0.778	a
peccant	positive	0.25	a
peccant	negative	-0.625	a
peccable	positive	0.25	a
peccable	negative	-0.625	a
visible	positive	0.125	a
seeable	positive	0.125	a
visual	negative	-0.375	a
ocular	negative	-0.375	a
viewable	positive	0.5	a
unseeable	positive	0.25	a
unseeable	negative	-0.625	a
invisible	positive	0.25	a
invisible	negative	-0.625	a
out of sight	positive	0.25	a
out of sight	negative	-0.625	a
hidden	positive	0.25	a
hidden	negative	-0.625	a
concealed	positive	0.25	a
concealed	negative	-0.625	a
lightless	positive	0.375	a
nonvisual	positive	0.25	a
nonvisual	negative	-0.5	a
occult	negative	-0.875	a
undetectable	positive	0.375	a
unseeyn	positive	0.125	a
unseeyn	negative	-0.5	a
viviparous	negative	-0.125	a
live-bearing	negative	-0.125	a
broody	negative	-0.125	a
nonvolatilizable	positive	0.125	a
nonvolatilisable	positive	0.125	a
nonvolatile	positive	0.125	a
voluntary	positive	0.375	a
voluntary	negative	-0.25	a
freewill	positive	0.375	a
self-imposed	negative	-0.125	a
willing	negative	-0.625	a
unforced	negative	-0.625	a
uncoerced	negative	-0.625	a
volunteer	positive	0.125	a
unpaid	positive	0.125	a
unvoluntary	negative	-0.75	a
nonvoluntary	negative	-0.75	a
involuntary	negative	-0.75	a
forced	positive	0.125	a
unconscious	negative	-0.25	a
unwilled	negative	-0.375	a
unwilling	negative	-0.75	a
reflexive	negative	-0.5	a
reflex	negative	-0.5	a
automatic	negative	-0.5	a
vegetative	negative	-0.125	a
vulnerable	positive	0.375	a
vulnerable	negative	-0.25	a
undefended	negative	-0.625	a
undefendable	negative	-0.625	a
open	negative	-0.625	a
assailable	negative	-0.625	a
compromising	positive	0.25	a
compromising	negative	-0.625	a
defenseless	negative	-0.25	a
defenceless	negative	-0.25	a
endangered	negative	-0.625	a
indefensible	negative	-0.75	a
unsafe	negative	-0.75	a
insecure	negative	-0.75	a
penetrable	positive	0.625	a
threatened	negative	-0.25	a
under fire	negative	-0.25	a
under attack	negative	-0.25	a
unguarded	negative	-0.375	a
invulnerable	positive	0.25	a
airtight	positive	0.125	a
airtight	negative	-0.375	a
air-tight	positive	0.125	a
air-tight	negative	-0.375	a
shellproof	positive	0.125	a
bombproof	positive	0.125	a
defensible	positive	0.625	a
defendable	positive	0.625	a
unattackable	positive	0.125	a
unassailable	positive	0.125	a
strong	positive	0.125	a
secure	positive	0.125	a
inviolable	positive	0.125	a
impregnable	positive	0.125	a
