term	valence	score
countess	positive	0.25
coupists	negative	-1
courage	positive	0.75
courageous	positive	1
courageously	positive	1
courageousness	positive	1
courteous	positive	0.75
courtesy	positive	0.5
courtly	positive	0.6
courtship	positive	0.5
covenant	positive	0.5
coverup	positive	-0.4
covet	positive	-0.25
covetous	positive	-0.8
coward	negative	-1
cowardice	positive	-0.5
cowardly	negative	-1
cowards	negative	-1
cowered	negative	-1
cowering	negative	-1
cozied	positive	0.8
coziness	positive	1
cozy	positive	1
crabby	positive	-0.5
crack	positive	-0.5
cracked	positive	-0.5
cracking	positive	-0.4
crackpot	negative	-1
cracks	positive	-0.6
cradle	positive	0.6
cradled	positive	0.8
cradling	positive	0.8
craft	positive	0.5
craftily	negative	-1
craftly	negative	-1
craftsman	positive	0.5
craftsmanship	positive	0.8
craftsmen	positive	0.6
crafty	negative	-1
cramp	positive	-0.75
cramped	positive	-0.5
cramping	negative	-1
cranky	positive	-0.75
crap	positive	-0.75
crappiest	negative	-1
crappy	negative	-1
craps	negative	-1
crash	positive	-0.75
crashed	positive	-0.6
crashes	negative	-1
crashing	negative	-1
crass	negative	-1
crave	positive	-0.25
craved	positive	-0.25
craven	negative	-1
cravenly	negative	-1
craze	positive	-0.25
crazed	negative	-1
crazier	positive	-0.25
craziest	positive	-0.25
crazily	negative	-1
craziness	positive	-0.8
crazy	positive	-0.75
creak	negative	-1
creaking	positive	-0.5
creaks	negative	-1
create	positive	0.6
creative	positive	0.75
creativity	positive	1
creator	positive	0.6
creature	positive	-0.25
credence	positive	0.5
credential	positive	0.4
credibility	positive	1
credible	positive	0.5
credit	positive	0.4
creditable	positive	0.8
credited	positive	0.4
credulous	negative	-1
creep	positive	-0.75
creeping	positive	-0.6
creeps	positive	-0.8
creepy	negative	-1
crept	positive	-0.6
crescendo	positive	0.6
crestfallen	negative	-1
cried	negative	-1
criers	negative	-1
cries	negative	-1
crime	positive	-0.75
criminal	positive	-0.75
criminality	negative	-1
criminals	negative	-1
cringe	positive	-0.75
cringed	positive	-0.5
cringes	negative	-1
cripple	positive	-0.75
crippled	positive	-0.5
cripples	positive	-0.5
crippling	negative	-1
crises	negative	-1
crisis	positive	-0.75
crisp	positive	0.1
crisper	positive	1
critic	positive	-0.75
critical	positive	-0.6
criticism	negative	-1
criticisms	positive	-0.8
criticize	negative	-1
criticized	positive	-0.5
criticizes	positive	-0.8
criticizing	positive	-0.5
critics	positive	-0.5
critique	positive	-0.6
cronyism	positive	-0.6
crook	positive	-0.5
crooked	positive	-0.5
crooks	negative	-1
crouching	positive	-0.25
crowded	positive	-0.6
crowdedness	positive	-0.6
crowned	positive	0.6
crowning	positive	0.6
crucial	positive	-0.1
crude	positive	-0.5
cruel	negative	-1
crueler	negative	-1
cruelest	negative	-1
cruelly	positive	-0.5
cruelness	negative	-1
cruelties	negative	-1
cruelty	negative	-1
crumble	positive	-0.6
crumbled	positive	-0.6
crumbling	positive	-0.5
crummy	negative	-1
crumple	positive	-0.6
crumpled	positive	-0.6
crumples	positive	-0.6
crumpling	positive	-0.6
crunching	positive	-0.25
crusade	positive	-0.1
crusaders	positive	-0.25
crush	negative	-1
crushed	positive	-0.75
crushes	positive	-0.4
crushing	negative	-1
crusty	positive	-0.25
cry	positive	-0.75
crying	positive	-0.5
crypt	positive	-0.8
crystal	positive	0.6
cuckold	positive	-0.8
cuckoo	positive	-0.25
cuddle	positive	1
cudgel	positive	-0.8
cuffed	positive	-0.4
culinary	positive	0.5
cull	positive	-0.25
culled	positive	-0.25
culmination	positive	0.4
culpability	positive	-0.4
culpable	positive	-0.5
culprit	negative	-1
cult	negative	-1
cultivate	positive	0.6
cultivated	positive	0.6
cultivation	positive	0.6
cults	negative	-1
culture	positive	0.6
cultured	positive	0.8
cum	positive	-0.25
cumbersome	positive	-0.5
cunt	negative	-1
cunts	negative	-1
cuplrit	negative	-1
cur	positive	-0.8
curable	positive	0.8
cure	positive	1
cure all	positive	1
cureall	positive	1
curiosity	positive	0.5
curious	positive	0.4
curiously	positive	0.4
curl	positive	-0.25
curriculum	positive	-0.25
curse	positive	-0.75
cursed	positive	-0.5
curses	positive	-0.8
cursing	negative	-1
cursory	positive	-0.6
curt	positive	-0.6
cushion	positive	0.6
cushy	positive	0.8
cuss	negative	-1
cussed	positive	-0.8
custody	positive	-0.4
cut	positive	-0.25
cut the mustard	positive	1
cute	positive	0.75
cuteness	positive	0.8
cuts	positive	-0.25
cutters	positive	-0.4
cutthroat	positive	-0.5
cyanide	negative	-1
cyclone	positive	-0.25
cynic	positive	-0.8
cynical	positive	-0.5
cynicism	positive	-0.5
cyst	negative	-1
dabbling	positive	-0.25
daemon	positive	-0.25
daft	positive	-0.4
dagger	positive	-0.8
damage	positive	-0.75
damaged	positive	-0.5
damages	positive	-0.75
damaging	negative	-1
damn	positive	-0.75
damnable	negative	-1
damnably	negative	-1
damnation	positive	-0.75
damned	negative	-1
damning	negative	-1
damnit	negative	-1
damper	positive	-0.5
dampness	positive	-0.6
dams	positive	-0.25
dance	positive	0.6
dandruff	positive	-0.8
danger	positive	-0.75
dangerous	positive	-0.5
dangerously	negative	-1
dangerousness	negative	-1
dank	positive	-0.4
danke	positive	1
danken	positive	1
daresay	positive	-0.25
daring	positive	0.75
daringly	positive	1
dark	positive	-0.6
darken	positive	-0.5
darkened	positive	-0.75
darker	positive	-0.6
darkest	positive	-0.6
darkness	positive	-0.75
darling	positive	0.5
dashed	positive	0.25
dashing	positive	0.75
dastard	negative	-1
dastardly	positive	-0.5
daughter	positive	0.6
daunt	positive	-0.8
daunting	negative	-1
dauntingly	negative	-1
dauntless	positive	0.5
dawdle	positive	-0.25
dawn	positive	0.5
daybreak	positive	0.6
daydreams	positive	0.6
daze	positive	-0.4
dazed	positive	-0.75
dazzle	positive	0.8
dazzled	positive	0.8
dazzling	positive	0.8
dead	negative	-1
dead cheap	positive	1
dead on	positive	1
deadbeat	negative	-1
deadlock	positive	-0.75
deadly	positive	-0.75
deadon	positive	0.25
deadweight	negative	-1
deaf	positive	-0.5
deafening	negative	-1
deal	positive	0.25
dealers	positive	-0.25
dear	positive	0.5
dearly	positive	0.5
dearth	positive	-0.5
death	positive	-0.75
debacle	positive	-0.5
debase	positive	-0.8
debasement	positive	-0.8
debaser	positive	-0.8
debatable	positive	-0.4
debauch	negative	-1
debaucher	positive	-0.8
debauchery	positive	-0.5
debilitate	negative	-1
debilitating	negative	-1
debility	positive	-0.8
debonair	positive	0.6
debris	positive	-0.5
debt	positive	-0.75
debtor	positive	-0.6
debts	positive	-0.8
decadence	positive	0.8
decadent	positive	0.6
decapitate	negative	-1
decay	positive	-0.5
decayed	positive	-0.5
deceased	negative	-1
deceit	negative	-1
deceitful	negative	-1
deceitfully	negative	-1
deceitfulness	negative	-1
deceive	positive	-0.75
deceived	positive	-0.75
deceiver	negative	-1
deceivers	negative	-1
deceives	negative	-1
deceiving	positive	-0.75
decelerated	positive	-0.4
decency	positive	0.5
decent	positive	0.5
deception	negative	-1
deceptive	positive	-0.75
deceptively	negative	-1
decisive	positive	0.5
decisiveness	positive	0.8
declaim	negative	-1
declaratory	positive	0.25
declination	positive	-0.6
decline	positive	-0.75
declined	positive	-0.6
declines	positive	-0.6
declining	positive	-0.5
decomposition	positive	-0.6
decrease	positive	-0.25
decreasing	positive	-0.4
decrement	positive	-0.5
decrepit	positive	-0.75
decrepitude	positive	-0.8
decries	positive	-0.6
decry	positive	-0.5
decrypted	positive	-0.25
dedicated	positive	0.5
dedication	positive	0.5
deduct	positive	-0.25
deed	positive	0.4
deepening	positive	-0.25
defamation	positive	-0.5
defamations	negative	-1
defamatory	positive	-0.5
defame	positive	-0.5
defeat	positive	-0.8
defeated	negative	-1
defeating	positive	-0.25
defeats	positive	-0.8
defecates	positive	-0.6
defect	negative	-1
defection	positive	-0.6
defective	positive	-0.5
defects	positive	-0.5
defend	positive	0.25
defended	positive	0.25
defender	positive	0.75
defenders	positive	0.25
defending	positive	0.25
defense	positive	0.25
defenseless	positive	-0.5
defensive	positive	-0.5
defer	positive	-0.25
deference	positive	0.5
deferral	positive	-0.25
deferring	positive	-0.25
defiance	positive	-0.5
defiant	positive	-0.75
defiantly	positive	-0.4
deficiencies	positive	-0.5
deficiency	positive	-0.5
deficient	negative	-1
deficit	positive	-0.5
defile	positive	-0.5
defiler	negative	-1
definitive	positive	0.6
deflate	positive	-0.5
deflation	positive	-0.25
deform	positive	-0.5
deformed	positive	-0.5
deformity	negative	-1
defraud	negative	-1
defrauding	negative	-1
deft	positive	1
defunct	positive	-0.5
defy	positive	-0.5
degeneracy	negative	-1
degenerate	positive	-0.5
degenerately	negative	-1
degeneration	negative	-1
degenerative	negative	-1
deginified	positive	1
degradation	positive	-0.75
degrade	positive	-0.75
degraded	negative	-1
degrades	negative	-1
degrading	positive	-0.5
degradingly	negative	-1
dehumanization	negative	-1
dehumanize	positive	-0.5
dehumanized	negative	-1
dehumanizes	negative	-1
dehumanizing	negative	-1
deign	positive	-0.8
deject	positive	-0.5
dejected	positive	-0.75
dejectedly	negative	-1
dejecting	negative	-1
dejection	negative	-1
dejects	negative	-1
delay	positive	-0.75
delayed	positive	-0.75
delaying	positive	-0.8
delays	positive	-0.8
delectable	positive	0.5
delegate	positive	0.1
deleterious	negative	-1
deletion	positive	-0.6
delicacy	positive	0.8
delicate	positive	0.6
delicious	positive	0.5
delight	positive	1
delighted	positive	0.75
delightful	positive	0.75
delightfully	positive	1
delightfulness	positive	1
delighting	positive	1
delights	positive	1
delinquency	positive	-0.5
delinquent	positive	-0.5
delirious	positive	-0.5
delirium	positive	-0.5
deliverance	positive	0.4
delivery	positive	0.6
delude	negative	-1
deluded	negative	-1
deluge	positive	-0.5
delusion	positive	-0.5
delusional	positive	-0.5
delusions	negative	-1
demand	positive	-0.5
demanded	positive	-0.4
demanding	positive	-0.5
demands	positive	-0.4
demean	negative	-1
demeaned	negative	-1
demeaning	negative	-1
demented	negative	-1
dementia	positive	-0.5
demise	positive	-0.5
democracy	positive	0.4
demolish	positive	-0.5
demolisher	negative	-1
demolition	positive	-0.6
demon	positive	-0.5
demonic	positive	-0.75
demonize	negative	-1
demonized	negative	-1
demonizes	negative	-1
demonizing	negative	-1
demons	negative	-1
demonstrable	positive	0.1
demonstrated	positive	0.4
demonstrative	positive	0.4
demoralize	negative	-1
demoralized	positive	-0.75
demoralizing	negative	-1
demoralizingly	negative	-1
denial	positive	-0.75
denied	positive	-0.75
denier	positive	-0.25
deniers	positive	-0.25
denies	positive	-0.5
denigrate	negative	-1
denounce	positive	-0.75
denounces	positive	-0.6
dense	negative	-1
dent	positive	-0.5
dented	positive	-0.6
dents	positive	-0.6
denunciate	positive	-0.6
denunciation	positive	-0.5
denunciations	positive	-0.6
deny	positive	-0.75
denying	positive	-0.75
departed	positive	-0.25
departure	positive	-0.25
dependable	positive	1
dependably	positive	1
depended	positive	-0.25
dependence	positive	-0.25
dependency	positive	-0.25
depending	positive	-0.25
depends	positive	0.1
depicting	positive	0.1
deplete	positive	-0.8
deplorable	positive	-0.5
deplorably	negative	-1
deplore	positive	-0.5
deploring	negative	-1
deploringly	negative	-1
deport	positive	-0.5
deportation	positive	-0.6
deprave	negative	-1
depraved	positive	-0.5
depravedly	negative	-1
depravity	negative	-1
deprecate	negative	-1
depreciate	positive	-0.8
depreciated	positive	-0.8
depreciation	positive	-0.8
depress	positive	-0.5
depressed	negative	-1
depressing	negative	-1
depressingly	negative	-1
depression	positive	-0.5
depressions	positive	-0.8
depressive	negative	-1
deprivation	negative	-1
deprive	negative	-1
deprived	negative	-1
depth	positive	-0.25
derail	positive	-0.8
derailed	positive	-0.8
derails	positive	-0.8
deranged	negative	-1
derelict	positive	-0.8
deride	positive	-0.5
derided	negative	-1
derides	negative	-1
deriding	negative	-1
derision	positive	-0.75
derisive	negative	-1
derisively	negative	-1
derisiveness	negative	-1
derivative	positive	-0.25
derogation	positive	-0.4
derogatory	positive	-0.5
descendant	positive	0.25
desecrate	negative	-1
desecration	negative	-1
desert	positive	-0.5
deserted	positive	-0.6
deserters	positive	-0.8
desertion	positive	-0.5
deserts	positive	-0.25
deserve	positive	0.25
deserved	positive	0.25
deservedly	positive	0.25
deserving	positive	0.25
desiccate	positive	-0.4
desiccated	positive	-0.4
designer	positive	0.6
desirable	positive	0.75
desire	positive	0.6
desired	positive	0.8
desiring	positive	0.5
desirous	positive	0.75
desist	positive	-0.25
desititute	negative	-1
desolate	positive	-0.5
desolately	negative	-1
desolation	positive	-0.5
despair	positive	-0.75
despairing	positive	-0.75
despairingly	negative	-1
despairs	negative	-1
desperate	positive	-0.75
desperately	positive	-0.5
desperation	positive	-0.5
despicable	positive	-0.75
despicably	negative	-1
despise	positive	-0.75
despised	negative	-1
despising	negative	-1
despoil	negative	-1
despoiled	negative	-1
despoiler	negative	-1
despondence	negative	-1
despondency	negative	-1
despondent	positive	-0.5
despondently	negative	-1
despot	negative	-1
despotic	positive	-0.5
despotism	positive	-0.5
dessert	positive	0.6
destabilisation	negative	-1
destabilization	positive	-0.8
destains	negative	-1
destiny	positive	0.5
destitute	negative	-1
destitution	negative	-1
destroy	positive	-0.5
destroyed	positive	-0.75
destroyer	positive	-0.75
destroying	positive	-0.75
destroys	positive	-0.5
destruction	positive	-0.75
destructive	positive	-0.75
desultory	positive	-0.6
detachable	positive	1
detached	positive	-0.4
detachment	positive	-0.6
detain	positive	-0.5
detained	positive	-0.6
detainee	positive	-0.6
detect	positive	0.1
detection	positive	0.25
detention	positive	-0.5
deter	positive	-0.6
deteriorate	positive	-0.5
deteriorated	positive	-0.8
deteriorating	positive	-0.8
deterioration	positive	-0.5
determination	positive	0.8
determined	positive	0.5
deterrent	positive	-0.6
detest	positive	-0.5
detestable	negative	-1
detestably	negative	-1
detested	negative	-1
detesting	negative	-1
detests	negative	-1
detonate	positive	-0.5
detonates	positive	-0.6
detour	positive	-0.25
detours	positive	-0.25
detract	positive	-0.5
detracted	positive	-0.25
detracting	positive	-0.4
detraction	positive	-0.4
detracts	positive	-0.4
detriment	positive	-0.5
detrimental	positive	-0.5
detritus	positive	-0.6
devastate	positive	-0.75
devastated	positive	-0.5
devastates	negative	-1
devastating	positive	-0.75
devastatingly	negative	-1
devastation	positive	-0.5
develop	positive	0.1
developer	positive	-0.25
deviate	positive	-0.4
deviation	positive	-0.4
devil	positive	-0.5
devilish	positive	-0.5
devilishly	negative	-1
devilment	negative	-1
devilry	negative	-1
devils	negative	-1
devious	positive	-0.5
deviously	negative	-1
deviousness	negative	-1
devoid	positive	-0.5
devolution	positive	-0.6
devolved	positive	-0.25
devoted	positive	0.8
devotion	positive	0.8
devotional	positive	0.6
devour	positive	-0.4
devoured	positive	-0.4
devouring	positive	-0.4
devout	positive	0.5
dexterity	positive	0.4
dexterous	positive	0.4
dexterously	positive	0.25
dextrous	positive	0.25
diabolic	negative	-1
diabolical	positive	-0.5
diabolically	positive	-0.5
diagnosis	positive	-0.25
diametrically	negative	-1
diaper	positive	-0.25
diapers	positive	-0.25
diappointed	negative	-1
diarrhea	negative	-1
diatribe	positive	-0.5
diatribes	positive	-0.8
dice	positive	-0.25
dick	negative	-1
dickhead	positive	-0.6
dictator	positive	-0.5
dictatorial	positive	-0.5
dictatorship	negative	-1
didactic	positive	0.4
die	positive	-0.75
die hard	negative	-1
died	positive	-0.5
dies	positive	-0.8
diet	positive	-0.25
difficult	positive	-0.5
difficulties	positive	-0.5
difficulty	positive	-0.5
diffidence	negative	-1
diffident	positive	-0.6
digging	positive	-0.25
dignified	positive	0.5
dignify	positive	0.8
dignitary	positive	0.6
dignity	positive	0.5
digress	positive	-0.25
dilapidated	positive	-0.5
dilemma	positive	-0.5
diligence	positive	0.5
diligent	positive	0.5
diligently	positive	0.6
dilly dally	negative	-1
dillydallying	positive	-0.4
dilute	positive	-0.4
dim	negative	-1
diminish	positive	-0.5
diminished	positive	-0.6
dimmer	negative	-1
din	positive	-0.25
ding	negative	-1
dings	negative	-1
dinky	negative	-1
dinner	positive	0.6
diplomacy	positive	0.6
diplomatic	positive	0.5
dipshit	negative	-1
dire	negative	-1
director	positive	0.25
direful	negative	-1
direly	negative	-1
direness	negative	-1
dirt	positive	-0.75
dirt cheap	positive	1
dirtbag	negative	-1
dirtbags	negative	-1
dirtcheap	positive	-0.4
dirtier	positive	-0.8
dirtiest	positive	-0.8
dirts	negative	-1
dirty	positive	-0.75
disability	positive	-0.8
disable	positive	-0.5
disabled	positive	-0.75
disabling	positive	-0.8
disaccord	positive	-0.8
disadvantage	positive	-0.5
disadvantaged	positive	-0.5
disadvantageous	negative	-1
disadvantages	positive	-0.8
disaffect	negative	-1
disaffected	positive	-0.5
disaffirm	negative	-1
disagree	positive	-0.5
disagreeable	negative	-1
disagreeably	negative	-1
disagreed	positive	-0.6
disagreeing	positive	-0.5
disagreement	positive	-0.5
disagrees	positive	-0.6
disallow	positive	-0.6
disallowed	positive	-0.6
disapointed	negative	-1
disapointing	negative	-1
disapointment	negative	-1
disappear	positive	-0.6
disappeared	positive	-0.6
disappears	positive	-0.6
disappoint	negative	-1
disappointed	negative	-1
disappointing	negative	-1
disappointingly	negative	-1
disappointment	negative	-1
disappointments	positive	-0.75
disappoints	positive	-0.5
disapprobation	negative	-1
disapproval	positive	-0.5
disapprove	positive	-0.75
disapproved	negative	-1
disapproving	positive	-0.5
disarm	positive	-0.6
disarming	positive	-0.6
disarray	negative	-1
disaster	negative	-1
disasterous	negative	-1
disasters	negative	-1
disastrous	negative	-1
disastrously	positive	-0.5
disavow	positive	-0.8
disavowal	positive	-0.8
disbelief	positive	-0.5
disbelieve	positive	-0.75
disbeliever	positive	-0.6
disbelieving	positive	-0.6
discard	positive	-0.6
discarded	positive	-0.6
discarding	positive	-0.6
discards	positive	-0.5
discharge	positive	-0.25
discipline	positive	-0.25
disciplined	positive	-0.25
disclaim	positive	-0.75
discoloration	positive	-0.6
discolored	positive	-0.6
discombobulate	positive	-0.8
discomfit	negative	-1
discomfititure	negative	-1
discomfort	positive	-0.5
discompose	negative	-1
disconcert	negative	-1
disconcerted	negative	-1
disconcerting	negative	-1
disconcertingly	negative	-1
disconnect	positive	-0.6
disconnected	positive	-0.5
disconnection	positive	-0.6
disconsolate	positive	-0.5
disconsolately	negative	-1
disconsolation	positive	-0.5
discontent	positive	-0.5
discontented	positive	-0.5
discontentedly	negative	-1
discontinue	positive	-0.6
discontinued	positive	-0.6
discontinuity	positive	-0.5
discontinuous	positive	-0.6
discord	positive	-0.75
discordance	negative	-1
discordant	negative	-1
discounted	positive	-0.25
discountenance	positive	-0.8
discourage	positive	-0.5
discouraged	positive	-0.5
discouragement	positive	-0.5
discouraging	negative	-1
discouragingly	negative	-1
discourteous	negative	-1
discourteously	negative	-1
discoutinous	negative	-1
discovery	positive	0.6
discredit	positive	-0.5
discredited	positive	-0.8
discrepancies	positive	-0.6
discrepancy	positive	-0.6
discrepant	negative	-1
discretion	positive	0.6
discretionary	positive	0.4
discriminate	positive	-0.5
discriminating	positive	-0.4
discrimination	positive	-0.5
discriminatory	positive	-0.8
discussion	positive	0.4
disdain	positive	-0.75
disdained	negative	-1
disdainful	negative	-1
disdainfully	negative	-1
disdains	negative	-1
disease	negative	-1
diseased	negative	-1
disembodied	positive	-0.5
disengagement	positive	-0.8
disfavor	negative	-1
disfigured	negative	-1
disgrace	negative	-1
disgraced	positive	-0.75
disgraceful	positive	-0.5
disgracefully	positive	-0.5
disgruntle	negative	-1
disgruntled	positive	-0.5
disguise	positive	-0.25
disguised	positive	-0.25
disguises	positive	-0.25
disguising	positive	-0.25
disgust	negative	-1
disgusted	positive	-0.75
disgustedly	positive	-0.5
disgustful	negative	-1
disgustfully	negative	-1
disgusting	negative	-1
disgustingly	negative	-1
disgusts	negative	-1
dishearten	positive	-0.8
disheartened	positive	-0.5
disheartening	positive	-0.5
dishearteningly	negative	-1
disheveled	positive	-0.6
dishonest	negative	-1
dishonestly	negative	-1
dishonesty	positive	-0.5
dishonor	positive	-0.5
dishonorable	negative	-1
dishonorablely	negative	-1
dishonorably	negative	-1
disillusion	positive	-0.8
disillusioned	positive	-0.5
disillusionment	positive	-0.5
disillusions	positive	-0.8
disinclination	positive	-0.8
disinclined	positive	-0.5
disinformation	positive	-0.6
disingenuous	positive	-0.5
disingenuously	negative	-1
disintegrate	positive	-0.5
disintegrated	positive	-0.6
disintegrates	positive	-0.6
disintegration	positive	-0.5
disinterest	positive	-0.6
disinterested	positive	-0.5
disjointed	positive	-0.6
dislike	negative	-1
disliked	positive	-0.75
dislikes	positive	-0.8
disliking	positive	-0.8
dislocated	positive	-0.5
disloyal	negative	-1
disloyalty	negative	-1
dismal	positive	-0.75
dismally	negative	-1
dismalness	negative	-1
dismantled	positive	-0.6
dismay	positive	-0.5
dismayed	positive	-0.75
dismaying	negative	-1
dismayingly	negative	-1
dismemberment	negative	-1
dismissal	positive	-0.5
dismissing	positive	-0.6
dismissive	positive	-0.8
dismissively	positive	-0.8
disobedience	positive	-0.5
disobedient	negative	-1
disobey	positive	-0.5
disobeyed	positive	-0.8
disoobedient	negative	-1
disorder	positive	-0.75
disordered	positive	-0.8
disorderly	positive	-0.5
disorganized	positive	-0.75
disorient	positive	-0.8
disorientation	positive	-0.8
disoriented	positive	-0.5
disown	positive	-0.8
disparage	positive	-0.75
disparaged	negative	-1
disparages	negative	-1
disparaging	positive	-0.75
disparagingly	negative	-1
disparate	positive	-0.6
disparity	positive	-0.6
dispassionate	positive	-0.8
dispel	positive	-0.6
dispensable	positive	-0.4
dispirit	negative	-1
dispirited	negative	-1
dispiritedly	negative	-1
dispiriting	negative	-1
displace	positive	-0.5
displaced	positive	-0.8
displease	positive	-0.5
displeased	positive	-0.75
displeasing	negative	-1
displeasure	positive	-0.5
disposal	positive	-0.4
disposed	positive	-0.6
disposing	positive	-0.6
dispossessed	negative	-1
disproportionate	positive	-0.4
disprove	positive	-0.6
disputable	positive	-0.6
dispute	positive	-0.75
disputed	positive	-0.5
disputes	positive	-0.6
disputing	positive	-0.6
disqualification	positive	-0.8
disqualified	positive	-0.5
disqualify	positive	-0.8
disquiet	positive	-0.5
disquieting	negative	-1
disquietingly	positive	-0.5
disquietude	negative	-1
disregard	negative	-1
disregarded	positive	-0.5
disregardful	negative	-1
disregarding	positive	-0.6
disregards	positive	-0.6
disreputable	positive	-0.5
disrepute	positive	-0.8
disrespect	positive	-0.75
disrespectable	negative	-1
disrespectablity	negative	-1
disrespected	positive	-0.5
disrespectful	positive	-0.75
disrespectfully	negative	-1
disrespectfulness	negative	-1
disrespecting	negative	-1
disrupt	positive	-0.8
disruption	positive	-0.75
disruptions	positive	-0.8
disruptive	positive	-0.5
diss	negative	-1
dissapointed	negative	-1
dissappointed	negative	-1
dissappointing	negative	-1
dissatisfaction	positive	-0.5
dissatisfactory	negative	-1
dissatisfied	positive	-0.75
dissatisfies	negative	-1
dissatisfy	negative	-1
dissatisfying	negative	-1
dissect	positive	-0.4
dissed	negative	-1
dissemble	positive	-0.25
dissembler	positive	-0.25
disseminate	positive	0.25
dissension	positive	-0.6
dissent	positive	-0.6
dissenter	positive	-0.6
dissenting	positive	-0.6
dissention	negative	-1
disservice	positive	-0.5
disses	negative	-1
dissidence	positive	-0.6
dissident	positive	-0.5
dissidents	positive	-0.6
dissing	negative	-1
dissocial	negative	-1
dissolute	positive	-0.25
dissolution	positive	-0.5
dissonance	positive	-0.5
dissonant	negative	-1
dissonantly	positive	-0.25
dissuade	positive	-0.6
dissuasive	positive	-0.6
distains	negative	-1
distaste	positive	-0.5
distasteful	positive	-0.5
distastefully	negative	-1
distended	positive	-0.6
distinction	positive	0.5
distinctive	positive	0.5
distinguished	positive	0.6
distort	positive	-0.5
distorted	positive	-0.75
distorting	positive	-0.6
distortion	positive	-0.5
distorts	positive	-0.5
distract	positive	-0.75
distracted	positive	-0.5
distracting	positive	-0.5
distractingly	positive	-0.8
distraction	positive	-0.75
distracts	positive	-0.6
distraught	positive	-0.75
distraughtly	positive	-0.25
distraughtness	negative	-1
distress	negative	-1
distressed	negative	-1
distresses	negative	-1
distressing	positive	-0.75
distressingly	negative	-1
distrust	positive	-0.75
distrustful	positive	-0.5
distrusting	negative	-1
disturb	positive	-0.5
disturbance	positive	-0.75
disturbed	positive	-0.75
disturbing	positive	-0.5
disturbingly	positive	-0.5
disturbs	negative	-1
disunity	positive	-0.25
disuse	positive	-0.6
disused	positive	-0.6
disvalue	positive	-0.25
dithering	positive	-0.8
divergent	positive	-0.5
diversified	positive	1
diversion	positive	-0.25
divested	positive	-0.4
divestment	positive	-0.4
divine	positive	1
divinely	positive	1
divinity	positive	1
divisive	positive	-0.6
divisively	positive	-0.6
divisiveness	positive	-0.6
divorce	negative	-1
dizziness	positive	-0.6
dizzing	negative	-1
dizzingly	negative	-1
dizzy	positive	-0.75
dizzying	positive	-0.4
dizzyingly	positive	-0.4
doddering	positive	-0.25
dodgey	negative	-1
dodging	positive	-0.25
dogged	positive	-0.1
doggedly	positive	-0.25
dogmatic	positive	-0.4
doldrums	positive	-0.25
doles	positive	-0.25
dolor	positive	-0.25
domestic	positive	-0.25
dominant	positive	-0.25
dominate	positive	0.4
dominated	positive	0.4
dominates	positive	0.4
domination	positive	0.4
domineer	positive	-0.25
domineering	positive	-0.25
donation	positive	0.8
donkey	positive	-0.25
donside	negative	-1
doofus	positive	-0.25
doom	positive	-0.75
doomed	negative	-1
doomsday	positive	-0.5
doornail	positive	-0.25
dope	positive	-0.25
dorm	positive	-0.25
dote	positive	1
dotingly	positive	0.4
doubt	positive	-0.75
doubted	positive	-0.8
doubtful	positive	-0.75
doubtfully	positive	-0.5
doubting	positive	-0.5
doubtless	positive	0.5
doubts	positive	-0.5
douchbag	negative	-1
douche	positive	-0.5
douchebag	negative	-1
douchebags	negative	-1
dour	positive	-0.5
doused	positive	-0.4
dove	positive	0.25
downbeat	negative	-1
downcast	positive	-0.75
downer	negative	-1
downfall	positive	-0.75
downfallen	negative	-1
downgrade	positive	-0.8
downhearted	positive	-0.5
downheartedly	negative	-1
downhill	negative	-1
downside	positive	-0.5
downsides	positive	-0.25
downturn	positive	-0.8
downturns	positive	-0.6
drab	positive	-0.5
draconian	positive	-0.5
draconic	positive	-0.25
drag	positive	-0.5
dragged	positive	-0.5
dragging	positive	-0.25
dragoon	positive	-0.25
drags	positive	-0.5
drain	negative	-1
drainage	positive	-0.25
drained	positive	-0.5
draining	negative	-1
drains	negative	-1
drama	positive	-0.25
drastic	positive	-0.4
drastically	positive	-0.4
drawback	positive	-0.5
drawbacks	positive	-0.8
dread	positive	-0.75
dreaded	positive	-0.5
dreadful	positive	-0.75
dreadfully	positive	-0.5
dreadfulness	negative	-1
dreading	negative	-1
dream	positive	0.25
dreamland	positive	0.8
dreams	positive	0.25
dreamy	positive	1
dreary	positive	-0.75
dredged	positive	-0.25
dressy	positive	0.6
dripped	positive	-0.4
dripping	positive	-0.4
drippy	negative	-1
drips	positive	-0.4
drivel	negative	-1
drone	positive	-0.4
drones	positive	-0.4
drooled	positive	-0.25
droop	positive	-0.6
drooping	positive	-0.6
droops	positive	-0.6
droopy	positive	-0.6
drop out	negative	-1
drop outs	negative	-1
droplets	positive	-0.25
dropout	positive	-0.25
dropouts	positive	-0.25
drought	positive	-0.5
drown	positive	-0.5
drowned	positive	-0.8
drowning	positive	-0.5
drowns	positive	-0.8
drowse	positive	-0.25
drowsiness	positive	-0.25
drudgery	negative	-1
drug	positive	-0.1
druggies	positive	-0.6
drumroll	positive	0.6
drunk	positive	-0.5
drunkard	positive	-0.8
drunken	positive	-0.5
drunkenly	positive	-0.6
drunkenness	positive	-0.6
dualism	positive	-0.25
dubbed	positive	-0.25
dubious	positive	-0.75
dubiously	positive	-0.8
dubitable	positive	-0.25
